col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
Kayumi-Grobbulus,10/07/20,22:54:35,1602143675-13,[Vek'nilash's Circlet],20926,item:20926::::::::60,Upgrade,4,MAGE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cff0070dd|Hitem:19886:2588:::::::60:::::::|h[The Hexxer's Cover]|h|r,,2,False,Quest,,,Estaris-Grobbulus
Xinrokh-Grobbulus,10/07/20,22:48:49,1602143329-2,[Angelista's Charm],21690,item:21690::::::::60,Best in Slot,3,PRIEST,Ahn'Qiraj Temple-40 Player,Silithid Royalty,9,531,40,|cffa335ee|Hitem:19371::::::::60:::::::|h[Pendant of the Fallen Dragon]|h|r,,1,False,Miscellaneous,Neck,,Estaris-Grobbulus
Parabella-Grobbulus,10/07/20,22:53:18,1602143598-11,[Qiraji Bindings of Command],20928,item:20928::::::::60,Best in Slot,1,ROGUE,Ahn'Qiraj Temple-40 Player,Princess Huhuran,9,531,40,|cffa335ee|Hitem:19835:2606:::::::60:::11::::|h[Zandalar Madcap's Mantle]|h|r,|cffa335ee|Hitem:19381:911:::::::60:::::::|h[Boots of the Shadow Flame]|h|r,1,False,Quest,,,Estaris-Grobbulus
Parabella-Grobbulus,10/07/20,23:59:50,1602147590-24,[Qiraji Bindings of Command],20928,item:20928::::::::60,Best in Slot,3,ROGUE,Ahn'Qiraj Temple-40 Player,Viscidus,9,531,40,|cffa335ee|Hitem:19835:2606:::::::60:::11::::|h[Zandalar Madcap's Mantle]|h|r,|cffa335ee|Hitem:19381:911:::::::60:::::::|h[Boots of the Shadow Flame]|h|r,1,False,Quest,,,Estaris-Grobbulus
Effective-Grobbulus,10/07/20,22:52:03,1602143523-7,[Hive Defiler Wristguards],21618,item:21618::::::::60,Pass,1,WARRIOR,Ahn'Qiraj Temple-40 Player,Princess Huhuran,9,531,40,|cffa335ee|Hitem:19578:1885:::::::60:::14::::|h[Berserker Bracers]|h|r,,PASS,False,Plate,Wrist,,Estaris-Grobbulus
Korsen-Grobbulus,10/07/20,22:55:19,1602143719-14,[Kalimdor's Revenge],21679,item:21679::::::::60,PVP,0,WARRIOR,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cffa335ee|Hitem:19352:1900:::::::60:::::::|h[Chromatically Tempered Sword]|h|r,"|cffa335ee|Hitem:19351:1900:::::::60:::::::|h[Maladath, Runed Blade of the Black Flight]|h|r",3,False,Two-Handed Swords,Two-Hand,,Estaris-Grobbulus
Korsen-Grobbulus,10/07/20,23:57:35,1602147455-21,[Carapace of the Old God],20929,item:20929::::::::60,Best in Slot,2,WARRIOR,Ahn'Qiraj Temple-40 Player,C'thun,9,531,40,|cffa335ee|Hitem:12640:1506:::::::60:::::::|h[Lionheart Helm]|h|r,,1,False,Quest,,,Estaris-Grobbulus
Retributus-Grobbulus,10/07/20,22:52:09,1602143529-8,[Legplates of Blazing Light],21667,item:21667::::::::60,Best in Slot,0,PALADIN,Ahn'Qiraj Temple-40 Player,Battleguard Sartura,9,531,40,|cffa335ee|Hitem:19385:2584:::::::60:::::::|h[Empowered Leggings]|h|r,,1,False,Plate,Legs,,Estaris-Grobbulus
Ramzergutzin-Grobbulus,10/07/20,23:59:31,1602147571-22,[Ouro's Intact Hide],20927,item:20927::::::::60,Best in Slot,2,WARRIOR,Ahn'Qiraj Temple-40 Player,Ouro,9,531,40,|cff0070dd|Hitem:20699::::::::60:::11::::|h[Cenarion Reservist's Legplates]|h|r,,1,False,Quest,,,Estaris-Grobbulus
Fourtywinks-Grobbulus,10/07/20,22:54:23,1602143663-12,[Vek'lor's Diadem],20930,item:20930::::::::60,Best in Slot,4,ROGUE,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cffa335ee|Hitem:16905:928:::::::60:::::::|h[Bloodfang Chestpiece]|h|r,,1,False,Quest,,,Estaris-Grobbulus
