col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
1,3,STORET,Lake-BaselineMonitoringDNR,Lake Baseline,Lake Baseline Monitoring,G,Y,Agency 1,/100/files,/100/mon_loc_weights,21FLVEMD,Volusa County Environmental Health Lab (Florida)
2,3,STORET,SAM,Surface Air Measurements,SAM Description,Z,N,Agency 2,/200/files,,MDNR,Missouri Dept. of Natural Resources
3,3,STORET,WR047,Water Resources 47,WR047 Description,G,Y,Agency 3,/300/files,/300/mon_loc_weights,21LABCH,Louisiana Department of Health and Hospitals
4,3,STORET,projectId,Some Project,Some Project Description,Z,Y ,Agency 4,/400/files,/400/mon_loc_weights,organization,Some Organization
5,3,STORET,EPABEACH,EPA Beach Observation,EPA Beach Description,U,Y,Agency 5,/500/files,/500/mon_loc_weights,BLMRW,Barr Lake Milton Reservoir Watershed (Colorado)
6,1,STEWARDS,CEAP,CEAP Name,CEAP Description,B,N,Agency 6,/600/files,,ARS,Agricultural Research Service
7,2,NWIS,NAWQA,NAWQA Name,NAWQA Description,Z,Y,Agency 7,,,USGS-SC,USGS South Carolina Water Science Center
8,3,STORET,SOMETHINGELSE,SOMETHINGELSE Name,SOMETHINGELSE Description,U,Y,Agency 8,/800/files,/800/mon_loc_weights,UMC,"Univ. of Missouri, Columbia"
9,2,NWIS,SACR TDB,SACR Name,SACR Description,B,Y,Agency 9,/999/files,/900/mon_loc_weights,USGS,United States Geological Survey
10,3,STORET,NoResultsProject,No Results Project,This project has no results,Z,Y,Agency 10,/1000/files,/1000/mon_loc_weights,BLAH,Organization of Blah
11,2,NWIS,NoResultsProject2,No Results Project 2,Second project with no results,B,Y,Agency 11,,/1100/mon_loc_weights,BLAH2,Organization of Blah 2
12,2,NWIS,NAWQA,NAWQA Name,NAWQA Description,Z,Y,Agency 12,/1200/files,,USGS-WI,USGS Wisconsin Water Science Center
13,3,STORET,EPABEACH,EPA Beach Observation,EPA Beach Description,U,Y,Agency 13,/1300/files,/1300/mon_loc_weights,organization,Some Organization
14,3,STORET,WR047,Water Resources 47,WR047 Description 14,G,Y,Agency 14,,/1400/mon_loc_weights,WIDNR_WQX,Wisconsin DNR
15,3,STORET,Lake-BaselineMonitoringDNR,Lake Baseline,Lake Baseline Monitoring,G,Y,Agency 15,/1500/files,/1500/mon_loc_weights,WIDNR_WQX,Wisconsin DNR
16,2,NWIS,projectIdNwis,Some NWIS Project,Some NWIS Project,X,N,Agency 16,,,USGS-WI,USGS Wisconsin Water Science Center
17,1,STEWARDS,projectIdStewards,Some USDA Project,Some USDA Project,K,Y,Agency 17,/1700/files,,ARS,Agricultural Research Service
