col0,col1,col2,col3
250,France,1,"I grew up in <a target='_blank' href='https://en.wikipedia.org/wiki/Brian\%C3\%A7on'>Briançon</a> (1993-2009), and moved for my studies afterward: for my <a target='_blank' href='https://en.wikipedia.org/wiki/Classe_pr\%C3\%A9paratoire\_aux\_grandes\_\%C3\%A9coles'>Prep' School</a> at <a target='_blank' href='http://www.lyc-thiers.ac-aix-marseille.fr/'>Lycée Thiers</a> in <a target='_blank' href='https://en.wikipedia.org/wiki/Marseille'>Marseille</a> (2009-11), then B.Sc. and two M.Sc. at <a target='_blank' href='http://www.ens-cachan.fr/english_version'>ENS Cachan</a> near <a target='_blank' href='https://en.wikipedia.org/wiki/Paris'>Paris</a> (2011-16), and currently <a target='_blank' href='https://perso.crans.org/besson/phd/'>my Ph.D.</a> at <a target='_blank' href='http://www.centralesupelec.fr/en'>CentraleSupélec</a> at <a target='_blank' href='https://en.wikipedia.org/wiki/Rennes'>Rennes</a> and <a target='_blank' href='https://en.wikipedia.org/wiki/Lille'>Lille</a> (since 2016)."
380,Italy,2,"<a target='_blank' href='https://en.wikipedia.org/wiki/Torino'>Torino</a> a few times in 1999, 2003 and 2007, and a week of holidays in <a target='_blank' href='https://en.wikipedia.org/wiki/Toscany'>Toscany</a> in 2016.<br><i>My friends and I especially loved the city of <a target='_blank' href='https://en.wikipedia.org/wiki/Pisa'>Pisa</a></i>."
840,United States,3,"1 month in 2005 in <a target='_blank' href='https://en.wikipedia.org/wiki/Norwalk'>Norwalk</a>, CT to visit <a target='_blank' href='http://www.studiob-ct.com/about/'>my aunt</a>."
124,Canada,4,1 week in <a target='_blank' href='https://en.wikipedia.org/wiki/Quebec'>Quebec</a> in 2005 to visit a cousin with my aunt.<br><i>Very good memories from Quebec!</i>
724,Spain,5,"<a target='_blank' href='https://en.wikipedia.org/wiki/Valencia'>Valencia</a> in 2005, <a target='_blank' href='https://en.wikipedia.org/wiki/Barcelona'>Barcelona</a> in 2009 and 2013 for holidays, and <a target='_blank' href='https://en.wikipedia.org/wiki/Cadiz'>Cadiz</a> in 2016 for the <a target='_blank' href='http://learning.mpi-sws.org/mlss2016/poster-sessions/'>Machine Learning Summer School</a>.<br><i>Cadiz and Sevilla are lovely cities! Hooray to Spain!</i><br>I went back for two conferences in Spain in 2018, one week in <a target='_blank' href='https://en.wikipedia.org/wiki/Lanzarote'>Lanzarote</a> for <a target='_blank' href='http://www.cs.cornell.edu/conferences/alt2018/'>ALT 2018</a>, and one week in <a target='_blank' href='https://en.wikipedia.org/wiki/Barcelona'>Barcelona</a> for <a target='_blank' href='http://wcnc2018.ieee-wcnc.org/'>IEEE WCNC 2018</a>."
372,Ireland,6,1 week in <a target='_blank' href='https://en.wikipedia.org/wiki/Cork'>Cork</a> and south of <a target='_blank' href='https://en.wikipedia.org/wiki/Ireland'>Ireland</a> in 2006 for a school trip.
276,Germany,7,"A one-day visit at <a target='_blank' href='https://en.wikipedia.org/wiki/Saarland_University'>Saarbrücken University</a> in 2011, and a week in <a target='_blank' href='https://en.wikipedia.org/wiki/Berlin'>Berlin</a> in 2013 for holidays."
752,Sweden,8,"A week in <a target='_blank' href='https://en.wikipedia.org/wiki/Stockholm'>Stockholm</a> in 2009, for a research collaboration with the <a target='_blank' href='http://www.lfsl.net/'>French Highschool in Stockholm</a>, for <a target='_blank' href='http://www.lyc-altitude.ac-aix-marseille.fr/spip/spip.php?article91'>a «Math.en.Jeans» project on tropical geometry</a>."
442,Luxembourg,9,"A week-end trip in 2013.<br><i>Not so interesting... It looks like Paris, only more expensive. And smaller.</i>"
826,United Kingdom,10,"3 months in 2013 for a research internship at <a target='_blank' href='http://www.cs.ucl.ac.uk/'>University College of London (UCL)</a> in <a target='_blank' href='https://en.wikipedia.org/wiki/London'>London</a>, with <a target='_blank' href='http://www0.cs.ucl.ac.uk/staff/p.ohearn/'>Peter O'Hearn</a> and <a target='_blank' href='http://www.doc.ic.ac.uk/~jvillar1/'>Jules Villard</a>. See <a target='_blank' href='https://perso.crans.org/besson/slidesM1Info13.pdf'>my report</a>.<i>Living in London was fun, and it's surely an interesting city, but it's way too large and crowded for me...</i><br>I'm going to Scotland for holidays in August 2018!"
356,India,11,"Two semesters in 2014-2015 as a teaching assistant at <a target='_blank' href='http://www.mahindraecolecentrale.edu.in/'>Mahindra Ecole Centrale</a> in <a target='_blank' href='https://en.wikipedia.org/wiki/Hyderabad'>Hyderabad</a>, taught about 280 hours of first-year of bachelor mathematics and computer science.<br><i>It was an awesome experience!!</i> See <a target='_blank' href='https://perso.crans.org/besson/cs101/'>the resources I wrote for the CS101 course</a>."
352,Iceland,12,"3 weeks in 2015, camping and hitchhiking all around the south coast of <a target='_blank' href='https://en.wikipedia.org/wiki/Iceland'>Iceland</a>.<br><i>It was magical!</i> <a target='_blank' href='https://www.facebook.com/media/set/?set=a.10207778352675620.1073741832.1198154202&type=1&l=a22ed820ed'>See here some pictures!</a>"
756,Switzerland,13,"A few days in 2003, and 5 months in 2016 for a research internship at <a target='_blank' href='http://bigwww.epfl.ch/'>EPFL</a> in <a target='_blank' href='https://en.wikipedia.org/wiki/Lausanne'>Lausanne</a> with <a target='_blank' href='http://bigwww.epfl.ch/unser/'>Michael Unser</a> and <a target='_blank' href='http://bigwww.epfl.ch/fageot/'>Julien Fageot</a>, for the 'MVA' M.Sc. in data science and mathematics. See <a target='_blank' href='https://goo.gl/xPzw4A'>my research report</a>.<br><i>I ranked first to this well-known French M.Sc.! Lausanne is a lovely city!</i>"
348,Hungary,14,"4 days in <a target='_blank' href='https://en.wikipedia.org/wiki/Budapest'>Budapest</a> in 2016, for holidays.<br><i>I loved this city!</i>"
40,Austria,15,"4 days in <a target='_blank' href='https://en.wikipedia.org/wiki/Vienna'>Vienna</a> in 2016, for holidays.<br><i>Not so special... Looks like Paris, but colder and more expensive!</i>"
300,Greece,16,"10 days in <a target='_blank' href='https://en.wikipedia.org/wiki/Athens'>Athens</a>, <a target='_blank' href='https://en.wikipedia.org/wiki/Delphi'>Delphi</a> and <a target='_blank' href='https://en.wikipedia.org/wiki/Corinth'>Corinth</a> in 2017 for holidays.<br><i>It was really great! The citadel of Corinth is a very cool place...</i>"
56,Belgium,17,1 day in <a target='_blank' href='https://en.wikipedia.org/wiki/Brussels'>Brussels</a> in 2017.<i>Too short to say anything...</i>
528,Netherlands,18,"1 week in 2017 <a target='_blank' href='https://en.wikipedia.org/wiki/Amsterdam'>Amsterdam</a> for the <a target='_blank' href='http://www.learningtheory.org/colt2017/the-conference/'>30th Conference On Learning Theory (COLT)</a> for <a target='_blank' href='https://perso.crans.org/besson/phd/'>my Ph.D.</a>, and a few days in 2018 in <a target='_blank' href='http://www.erim.eur.nl/e-code-erasmus-centre-for-optimization-of-digital-experiments/workshop-on-multi-armed-bandits-and-learning-algorithms/'>Rotterdam</a> for a research workshop.<br><i>I liked Amsterdam very much! So beautiful and calm!</i>"
620,Portugal,19,"1 week in <a target='_blank' href='https://en.wikipedia.org/wiki/Lisboa'>Lisboa</a> for the <a target='_blank' href='http://crowncom.org/2017/'>CROWNCom 2017</a> conference for <a target='_blank' href='https://perso.crans.org/besson/phd/'>my Ph.D.</a>.<br><i>I went to present <a target='_blank' href='https://bitbucket.org/scee_ietr/phd-student-day-ietr-2017-bonnefoi-and-besson/'>this poster</a> and <a target='_blank' href='https://hal.inria.fr/hal-01575419'>my first research article</a>, which received the CROWNCom 2017 Best Paper Award !</i>"
504,Maroc,20,"A few days in <a target='_blank' href='https://en.wikipedia.org/wiki/Rabat'>Rabat</a> then a week in <a target='_blank' href='https://en.wikipedia.org/wiki/Marrakech'>Marrakech</a>, for the <a target='_blank' href='http://wcnc2019.ieee-wcnc.org/'>IEEE WCNC 2019</a> conference. I loved the trip!"
