col0,col1,col2,col3,col4,col5,col6,col7
c7c6c30d-941a-498b-b18c-4b30ad211fdc,48,typ,on,compsvo13v;book;board,compsvi3;pear;mug,compsvi3;pear;mug,20191113-151156
b5adaf1f-c044-49a0-a641-c74a0416ca3c,45,typ,on,compsvo13v;book;board,compsvi3;pear;mug,compsvi3;pear;mug,20191113-151158
d27f0021-4b32-4d1e-b42b-5e900e3dda57,46,typ,on,compsvo13v;book;board,compsvi3;pear;mug,compsvi3;pear;mug,20191113-151109
d90a3989-25a8-4720-aa7f-e86cf594e1fd,47,typ,on,compsvo13v;book;board,compsvi3;pear;mug,compsvi3;pear;mug,20191113-151114
fd707289-b54f-4fcc-a6d4-780105f4a26c,11,typ,on,compsvo13v;book;board,compsvi3;pear;mug,compsvo13v;book;board,20191113-151115
fd707289-b54f-4fcc-a6d4-780105f4a26c,48,typ,in,compsvi15;pear;box,compsvi3;pear;mug,compsvi15;pear;box,20191113-151116
fd707289-b54f-4fcc-a6d4-780105f4a26c,45,typ,in,compsvi15;pear;box,compsvi3;pear;mug,compsvi15;pear;box,20191113-151117
fd707289-b54f-4fcc-a6d4-780105f4a26c,46,typ,in,compsvi15;pear;box,compsvi3;pear;mug,compsvi15;pear;box,20191113-151118
fd707289-b54f-4fcc-a6d4-780105f4a26c,47,typ,in,compsvi15;pear;box,compsvi3;pear;mug,compsvi15;pear;box,20191113-151119
fd707289-b54f-4fcc-a6d4-780105f4a26c,11,typ,in,compsvi15;pear;box,compsvi3;pear;mug,compsvi15;pear;box,20191113-151120
