col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131,col132,col133,col134,col135,col136,col137,col138,col139
498321,2015-03-19,9959,Noah Test,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,0.3372749898333147 32.60080188472892 1157.0 35.0,Noah Test,VA,(757)275-1493x92841,
498322,2015-03-19,9958,Noah Test,1,2.0,1.0,1.0,2.0,0.0,2.0,1 2,1 5,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,1.0,1.0,0.0,250000.0,2 3,1 3,,250.0,258.0,500.0,100.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.0,0.0,0.0,,,,,,,1.0,1.0,0.0,20000.0,2 4,2,,1.0,3.0,1.0,123333.0,1,1 2 7,,1.0,2.0,0.0,100000.0,2.0,1 3,,1.0,2.0,0.0,26000.0,4.0,1.0,,25000.0,20000.0,2222.0,25888.0,,0.0,0,,,0.3372551574572941 32.60046865629919 1171.0 10.0,Noah,VA,(089)878-7420,
498323,2015-03-19,9957,Noah Test,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.0,1.0,1.0,0.0,1.0,2 3,1.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,230.0,250.0,2000.0,120.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,0.3371116236016421 32.600703380745365 1150.0 15.0,Noah Test,VA,+1-654-600-0361x0679,
498324,2015-03-19,9956,Noah Test,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,1,1 4 5,,0.33711852799111347 32.600683672463674 1169.0 10.0,Test ,VA,140.279.0104,
498325,2015-03-19,9960,david 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23.0,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,23.0,22.0,2.0,2.0,,,0,,,0.3399444 32.6001792 0.0 2104.0,dm,VA,(723)338-0077,
498326,2015-03-19,9959,david 2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,5.0,5.0,5.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.3399444 32.6001792 0.0 2104.0,dm,VA,210-900-3640x74182,
498327,2015-03-19,9958,david 3,1,55.0,0.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,5.0,5.0,2.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.3399444 32.6001792 0.0 2104.0,dm,VA,558-389-9388,
498354,2015-03-19,20894,Robert,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.0,0.0,1.0,2.0,0.0,2.0,2.0,1 3,,1.0,2.0,0.0,200000.0,1 3,1 2,,1.0,2.0,0.0,300000.0,1 2,1 2,,0.0,,,,,,,0.0,,,,,,,230.0,400.0,1000.0,700.0,,200000.0,1,1 2 3 4 5,,0.329416707977363 32.57585814561593 1198.0 4.0,Prossy,VA,832-251-1466x8482,
498355,2015-03-19,20910,Akwero Nancy,1,2.0,1.0,1.0,2.0,1.0,200000.0,2,1 2 3 5,,0.0,,,,,,,0.0,,,,,,,1.0,2.0,0.0,0.0,4.0,8.0,Nnnn,1.0,2.0,0.0,40000.0,2,1 5,,500.0,400.0,700.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,,0.32956743187998366 32.57561094478717 1186.0 50.0,Caroline Kasabiti ,VA,561-206-8094,
498356,2015-03-19,1523,William,1,2.0,0.0,1.0,2.0,0.0,130000.0,2,1,,1.0,10.0,0.0,500000.0,1.0,3.0,,1.0,2000.0,1.0,10000.0,3.0,1.0,,1.0,3000.0,1.0,500.0,1.0,5.0,,1.0,4.0,1.0,56000.0,3,3 5 6,,600000.0,500.0,100000.0,500.0,1,50000.0,1.0,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,0.0,2.0,150000.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,1,1 3 5,,0.32940779388569563 32.57586576882584 226.0 4.0,Caroline Kasabiti,VA,+1-953-000-0351x14470,
