col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
st1,sch1,glendacosta1,i+0DQhwuIt,Norma Fisher,Norma Fisher,Norma Fisher,woodtina@gmail.com,1.0,12.0,123.0,Active,4/2/2004,2020.0
st2,sch1,tammyromero2,V3oPVJ5j_0,Jorge Sullivan,Jorge Sullivan,Jorge Sullivan,susanlopez@mendoza.com,2.0,9.0,123.0,Active,4/2/2004,2020.0
st3,sch1,marywood3,AoX0ZPb!+u,Elizabeth Woods,Elizabeth Woods,Elizabeth Woods,qoliver@walker.com,3.0,11.0,123.0,Active,4/2/2004,2020.0
st4,sch1,josephkelley4,pwv0)jMz+E,Susan Wagner,Susan Wagner,Susan Wagner,gwhite@yahoo.com,4.0,9.0,123.0,Active,4/2/2004,2020.0
st5,sch1,amberbuchanan5,^7S1TSoa,Peter Montgomery,Peter Montgomery,Peter Montgomery,lyonspeter@howard-dennis.org,,,,,,
st6,sch1,maxwelljones6,aZ9Qf(BD,Theodore Mcgrath,Theodore Mcgrath,Theodore Mcgrath,tammybrown@moore.com,,,,,,
st7,sch1,rayjohnson7,,Stephanie Collins,Stephanie Collins,Stephanie Collins,alexandermaldonado@hotmail.com,,,,,,
st8,sch1,chadjones8,N!r,Stephanie Sutton,Stephanie Sutton,Stephanie Sutton,paul42@hotmail.com,,,,,,
st9,sch1,peggyvargas9,9OC*1VmCzj,Brian Hamilton,Brian Hamilton,Brian Hamilton,vharmon@williams.info,9.0,9.0,123.0,Active,4/2/2004,2020.0
st10,sch1,mauricekhan10,y_f8Py3iWo,Susan Levy,Susan Levy,Susan Levy,emily99@gmail.com,10.0,10.0,123.0,Active,4/2/2004,2020.0
st11,sch2,mikaylaharrison11,^24mFr&UD4,Sean Green,Sean Green,Sean Green,pgoodman@gmail.com,11.0,10.0,123.0,Active,4/2/2004,2020.0
st12,sch2,kevincook12,W(96^S^zZ9,Kimberly Smith,Kimberly Smith,Kimberly Smith,hollymoore@walsh.org,12.0,11.0,123.0,Active,4/2/2004,2020.0
st13,sch2,stacythompson13,*Q2Kj_t,Jennifer Summers,Jennifer Summers,Jennifer Summers,moralesjacqueline@yahoo.com,,,,,,
st14,sch2,elizabethking14,@SZLHn7@Z7,April Snyder,April Snyder,April Snyder,seangreen@griffin.net,14.0,9.0,123.0,Active,4/2/2004,2020.0
st15,sch2,joshuaelliott15,N1B9uCh4,Dana Nguyen,Dana Nguyen,Dana Nguyen,simpsonlarry@williams-carson.biz,,,,,,
st16,sch2,teresarobinson16,+8rBdold@U,Cheryl Bradley,Cheryl Bradley,Cheryl Bradley,monroedavid@morales.biz,16.0,11.0,123.0,Active,4/2/2004,2020.0
st17,sch2,ashleytodd17,f!70g$ymYV,Walter Pratt,Walter Pratt,Walter Pratt,lewisjennifer@gmail.com,17.0,9.0,123.0,Active,4/2/2004,2020.0
st18,sch2,shelbyberger18,&twKWI(o2h,Bobby Flores,Bobby Flores,Bobby Flores,davidbanks@ramirez-good.com,18.0,9.0,123.0,Active,4/2/2004,2020.0
st19,sch2,johngreen19,2,Tasha Rodriguez,Tasha Rodriguez,Tasha Rodriguez,bburton@yahoo.com,,,,,,
st20,sch2,andrewhudson20,iy_P8JPv!!,Michelle Kelley,Michelle Kelley,Michelle Kelley,callahandennis@hotmail.com,20.0,12.0,123.0,Active,4/2/2004,2020.0
st21,sch3,jasonclark21,dta4TCcgz^,Kimberly Maynard,Kimberly Maynard,Kimberly Maynard,wigginsjoshua@gmail.com,21.0,12.0,123.0,Active,4/2/2004,2020.0
