col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38
space,20.229,space,6.567,2.0,1.475,1.0,0.0,17.0,0.0,1.0,16.0,11.0,25.0,5.0,6.0,$11 now,$25 in 5 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,1.807,1.0,0.0,17.0,1.0,1.0,16.0,11.0,30.0,11.0,4.0,$11 now,$30 in 11 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,2.432,1.0,0.0,17.0,2.0,1.0,16.0,12.0,30.0,38.0,4.0,$30 in 38 days,$12 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,1.313,1.0,0.0,17.0,3.0,1.0,16.0,12.0,35.0,76.0,6.0,$12 now,$35 in 76 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,2.381,1.0,0.0,17.0,4.0,1.0,16.0,16.0,25.0,113.0,5.0,$25 in 113 days,$16 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,1.647,1.0,0.0,17.0,5.0,1.0,16.0,16.0,25.0,70.0,6.0,$25 in 70 days,$16 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,1.681,1.0,0.0,17.0,6.0,1.0,16.0,18.0,30.0,67.0,4.0,$30 in 67 days,$18 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,1.611,1.0,0.0,17.0,7.0,1.0,16.0,19.0,25.0,20.0,4.0,$19 now,$25 in 20 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,1.557,1.0,0.0,17.0,8.0,1.0,16.0,21.0,30.0,171.0,4.0,$21 now,$30 in 171 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,1.564,1.0,0.0,17.0,9.0,1.0,16.0,25.0,35.0,4.0,5.0,$25 now,$35 in 4 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,1.513,1.0,0.0,17.0,10.0,1.0,16.0,30.0,35.0,3.0,4.0,$30 now,$35 in 3 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,1.397,1.0,0.0,17.0,11.0,1.0,16.0,32.0,35.0,59.0,4.0,$35 in 59 days,$32 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,2.315,1.0,0.0,17.0,12.0,1.0,16.0,30.0,35.0,42.0,5.0,$35 in 42 days,$30 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,1.574,1.0,0.0,17.0,13.0,1.0,16.0,15.0,30.0,158.0,6.0,$15 now,$30 in 158 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,2.191,1.0,0.0,17.0,14.0,1.0,16.0,31.0,35.0,129.0,4.0,$35 in 129 days,$31 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,1.0,1.547,1.0,0.0,17.0,15.0,1.0,16.0,13.0,35.0,27.0,4.0,$35 in 27 days,$13 now,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,2.0,1.598,1.0,0.0,17.0,16.0,1.0,16.0,17.0,25.0,9.0,4.0,$17 now,$25 in 9 days,red,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,888,1,2,28,2019-11-05_10h59.07.106,ITC_SDRD_Builder,3.0.7,60,https://adelphiderner.co1.qualtrics.com/jfe/form/SV_40Z0dWo03o54Fhz,space,4.855,6.0,195.883,25.942,1.0,0.0,1.0,0.0,1.0,0.0
