col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
2018-01-12,local-authority-eng:SKE,SKBFR-2,"302 Joy Spring Apt. 622
Ryanhaven, IN 88294",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22388&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.749915,-0.533053,6.9,124,124,2017-12-22,,"Site was promoted through CFS.. Residential. Site is a former Quarry,  is brownfield",1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-3,"734 Craig Overpass Suite 589
Jefferyside, CA 23464",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22389&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.892299,-0.342367,1.1,26,26,2017-12-22,,Site was promoted through CFS.. Residential. Former industrial land. Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-4,"272 Green Street
Port Lacey, CA 35243",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22390&p=0,yes,not owned by a public authority,pending decision,,,52.893736,-0.341904,0.8,22,22,2017-12-22,,Site was promoted through CFS.. Former industrial land. Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-8,"8056 Dunn Trail Apt. 049
Blackshire, IL 61935",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22391&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.890326,-0.34644,1.6,38,38,2017-12-22,,Site was promoted through CFS.. Residential. Former School site which has now been demolished. Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-10,"86187 Antonio Fort
North Carmen, CA 72324",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22387&p=0,yes,not owned by a public authority,pending decision,,,52.655325,-0.457419,0.45,12,12,2017-12-22,,Site promoted  through the CFS.. Former Peugeot Car dealership garage + car park . Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-22,"71318 Cassandra Plaza
Burkeview, NJ 84393",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22392&p=0,yes,not owned by a public authority,pending decision,,,52.657351,-0.462418,4.9,88,88,2017-12-22,,Site promoted  through the CFS  . Site is preferred allocation for the LP.. Previous industrial use land that is now vacant. Site is brownfield.,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-26,"5303 Lewis Springs
Port Adrian, NH 62346",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22393&p=0,yes,not owned by a public authority,permissioned,outline planning permission,,52.92278,-0.612689,1.3,31,31,2017-12-22,,Site promoted through the SHLAA 2014.. Residential. Demolished School Site . Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-36,"465 Wiley Corners Apt. 759
East Michellechester, IA 02837",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22394&p=0,yes,not owned by a public authority,pending decision,,,52.656785,-0.460321,4.1,73,73,2017-12-22,,Site promoted  through the CFS  . Site is preferred allocation for the LP.. Site mixture of  industrial buildings. Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-52,"521 Flores Stream
West Rebeccaborough, LA 68847",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22395&p=0,yes,not owned by a public authority,not permissioned,,,52.652803,-0.48276,0.14,5,5,2017-12-22,,Site promoted through the SHLAA 2014 .. Site is a hard standing area behind a current shops. Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-57,"0271 Soto Drives Apt. 975
New Edgar, NE 35218",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22396&p=0,yes,,not permissioned,,,52.90544,-0.651723,0.4,11,11,2017-12-22,,Site promoted through the SHLAA 2014 .. Site was former Tanners . Now demolished hard standing area. Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-69,"27862 Kent Mountains
Lake Michaelville, NM 32697",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22397&p=0,yes,owned by a public authority,not permissioned,,,52.660995,-0.477161,0.1,5,5,2017-12-22,,Site taken off NULD data. Site is hard standing garages. Site is brownfield,1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
2018-01-12,local-authority-eng:SKE,SKBFR-119,"917 Mclaughlin Glens
Martinville, OR 95889",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22398&p=0,yes,not owned by a public authority,not permissioned,,,52.801532,-0.619909,0.25,5,5,2017-12-22,,"New site submitted.. Site a former Timber yard. Now used for storage, part of site is brownfield",1a93f47c44a4e68037e88f645b09ba99201d81f7a263c27b8e7dcfac3d8bbf4b
