col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26
0|0|0|2|1|2019-01-03|2019-01-05|2|6,,,,,,,,,,,,,,,,,,,,,,,,,,
1|1|2|0|1|2019-01-04|2019-01-12|8|6,,,,,,,,,,,,,,,,,,,,,,,,,,
2|2|2|1|1|2019-01-05|2019-01-13|8|7,,,,,,,,,,,,,,,,,,,,,,,,,,
3|3|4|2|1|2019-01-09|2019-01-18|9|5,,,,,,,,,,,,,,,,,,,,,,,,,,
4|4|0|1|1|2019-01-10|2019-01-13|3|7,,,,,,,,,,,,,,,,,,,,,,,,,,
5|5|2|0|1|2019-01-10|2019-01-17|7|4,,,,,,,,,,,,,,,,,,,,,,,,,,
6|6|1|1|1|2019-01-12|2019-01-17|5|4,,,,,,,,,,,,,,,,,,,,,,,,,,
7|7|1|2|1|2019-01-12|2019-01-15|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,
8|8|4|2|1|2019-01-16|2019-01-23|7|3,,,,,,,,,,,,,,,,,,,,,,,,,,
9|9|4|0|1|2019-01-17|2019-01-20|3|7,,,,,,,,,,,,,,,,,,,,,,,,,,
10|10|0|0|1|2019-01-24|2019-01-31|7|4,,,,,,,,,,,,,,,,,,,,,,,,,,
11|11|3|2|1|2019-01-24|2019-02-01|8|5,,,,,,,,,,,,,,,,,,,,,,,,,,
12|12|4|1|1|2019-01-25|2019-01-31|6|4,,,,,,,,,,,,,,,,,,,,,,,,,,
13|13|3|0|1|2019-01-30|2019-02-04|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,
14|14|3|2|1|2019-01-30|2019-02-02|3|6,,,,,,,,,,,,,,,,,,,,,,,,,,
15|15|0|0|1|2019-02-02|2019-02-06|4|3,,,,,,,,,,,,,,,,,,,,,,,,,,
16|16|4|2|1|2019-02-01|2019-02-08|7|5,,,,,,,,,,,,,,,,,,,,,,,,,,
17|17|3|1|1|2019-02-05|2019-02-12|7|2,,,,,,,,,,,,,,,,,,,,,,,,,,
18|18|1|2|1|2019-02-05|2019-02-14|9|4,,,,,,,,,,,,,,,,,,,,,,,,,,
19|19|2|0|1|2019-02-05|2019-02-08|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,
20|20|3|2|1|2019-02-05|2019-02-08|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,
21|21|0|1|1|2019-02-09|2019-02-13|4|3,,,,,,,,,,,,,,,,,,,,,,,,,,
22|22|2|0|1|2019-02-21|2019-02-26|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,
23|23|1|1|1|2019-02-23|2019-02-27|4|3,,,,,,,,,,,,,,,,,,,,,,,,,,
24|24|0|0|1|2019-02-25|2019-03-04|7|1,,,,,,,,,,,,,,,,,,,,,,,,,,
25|25|4|2|1|2019-03-01|2019-03-08|7|5,,,,,,,,,,,,,,,,,,,,,,,,,,
26|26|2|2|1|2019-03-02|2019-03-05|3|2,,,,,,,,,,,,,,,,,,,,,,,,,,
27|27|2|1|1|2019-03-06|2019-03-10|4|7,,,,,,,,,,,,,,,,,,,,,,,,,,
28|28|1|0|1|2019-03-06|2019-03-11|5|1,,,,,,,,,,,,,,,,,,,,,,,,,,
29|29|0|1|1|2019-03-07|2019-03-15|8|5,,,,,,,,,,,,,,,,,,,,,,,,,,
30|30|1|0|1|2019-03-07|2019-03-11|4|1,,,,,,,,,,,,,,,,,,,,,,,,,,
31|31|0|2|1|2019-03-08|2019-03-11|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
32|32|1|1|1|2019-03-12|2019-03-15|3|5,,,,,,,,,,,,,,,,,,,,,,,,,,
33|33|1|2|1|2019-03-11|2019-03-17|6|7,,,,,,,,,,,,,,,,,,,,,,,,,,
34|34|2|1|1|2019-03-13|2019-03-21|8|4,,,,,,,,,,,,,,,,,,,,,,,,,,
35|35|1|2|1|2019-03-13|2019-03-19|6|2,,,,,,,,,,,,,,,,,,,,,,,,,,
36|36|1|1|1|2019-03-15|2019-03-18|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
37|37|3|1|1|2019-03-18|2019-03-22|4|5,,,,,,,,,,,,,,,,,,,,,,,,,,
38|38|2|2|1|2019-03-18|2019-03-21|3|4,,,,,,,,,,,,,,,,,,,,,,,,,,
39|39|1|1|1|2019-03-20|2019-03-22|2|5,,,,,,,,,,,,,,,,,,,,,,,,,,
40|40|4|0|1|2019-03-20|2019-03-28|8|4,,,,,,,,,,,,,,,,,,,,,,,,,,
41|41|3|0|1|2019-03-20|2019-03-26|6|2,,,,,,,,,,,,,,,,,,,,,,,,,,
42|42|4|0|1|2019-03-25|2019-03-28|3|4,,,,,,,,,,,,,,,,,,,,,,,,,,
43|43|4|0|1|2019-03-27|2019-04-03|7|3,,,,,,,,,,,,,,,,,,,,,,,,,,
44|44|4|2|1|2019-03-30|2019-04-03|4|3,,,,,,,,,,,,,,,,,,,,,,,,,,
45|45|4|0|1|2019-03-29|2019-04-04|6|4,,,,,,,,,,,,,,,,,,,,,,,,,,
46|46|0|1|1|2019-04-02|2019-04-04|2|4,,,,,,,,,,,,,,,,,,,,,,,,,,
47|47|4|0|1|2019-04-02|2019-04-09|7|2,,,,,,,,,,,,,,,,,,,,,,,,,,
48|48|2|0|1|2019-04-03|2019-04-11|8|4,,,,,,,,,,,,,,,,,,,,,,,,,,
49|49|4|1|1|2019-04-04|2019-04-09|5|2,,,,,,,,,,,,,,,,,,,,,,,,,,
50|50|3|0|1|2019-04-12|2019-04-14|2|7,,,,,,,,,,,,,,,,,,,,,,,,,,
51|51|2|0|1|2019-04-12|2019-04-15|3|1,,,,,,,,,,,,,,,,,,,,,,,,,,
