col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
Start Date,End Date,Response Type,"2642 Mallory Corner Apt. 857
West Zacharyport, AR 18854",Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,gary18@yahoo.com,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent to Participate in an Experimental Study
Title: Expertise within Working Memory and Fluid
Intelligence




















Description:

You will be asked to complete a series of different tasks testing expertise, working memory, and fluid intelligence. The entire experiment will take approximately two hours. You will receive four credits for your participation. 
Risks and Benefits:

There are no obvious risks of participating in this experiment.   Confidentiality:
We will not put your name on any of your tests.  Only Addie Wikowsky and her advisor will have access to the data collected for this study.  All data associated with this study will remain confidential.  
Right to Withdraw:
You do not have to take part in this study.  If you start the study and decide that you do not want to finish, all you have to do is to tell the research assistant in person, by letter, or by tele­phone at add0623@missouristate.edu.  Whether or not you choose to participate or to withdraw will not affect your standing with the Department of Psychology, or with the University, and it will not cause you to lose any benefits to which you are entitled.   Experimental credit will be prorated based on the amount of time you spent in the study. 
IRB Approval:
This study has been reviewed by Missouri State University’s Institutional Review Board (IRB). The IRB has determined that this study fulfills the human research subject protections obligations required by state and federal law and University policies.  If you have any questions, concerns, or reports regarding your rights as a participant of research, please contact the Office Research Compliance at 836-4132.


































Statement of Consent
I have read the above information.  I have been given a copy of this form.  I have had an opportunity to ask questions, and I have received answers.  I consent to participate in the study.","The researcher will assign you a participant number.



Please enter that participant number in the box below.



Please select this link when instructed to do so: click here.



**This is not a repeated section.","Please take this typing test when instructed to do so. You will click on the link below, select the 1-minute test for ""Rules of Baseball."" 

 

Click here.

 

Below, please enter the adjusted typing score.",Please enter the error score from the typing test.,Please select the language you have previous expertise in:,"Scroll down on the list to find our university (Missouri State University (smsu)).

The password is: bears1

Please select the language you have expertise in on this page. 

You will need to enter your name and M",,,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","31276 Michael Fork Apt. 523
New Amy, NM 45520","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}",connerchristine@gmail.com,"{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID12_TEXT""}"
4/23/19 12:56,4/23/19 13:56,IP Address,"440 Joseph Parkway Apt. 472
North Spencerhaven, RI 74268",100,3600,TRUE,4/23/19 13:56,R_2v87MV7LLpy6wSz,,,erin71@fuentes-nelson.com,,,,anonymous,EN,"Yes, I consent to participate in this study.", P6,13,12,Spanish,,,,P6
4/23/19 12:56,4/23/19 14:04,IP Address,"5953 Braun Drive Apt. 720
New Melissaberg, DE 07704",100,4069,TRUE,4/23/19 14:04,R_2U9MlvkWsmsaoTY,,,ztrevino@shepherd-anderson.com,,,,anonymous,EN,"Yes, I consent to participate in this study.",p5,39,6,French,,,,p5
4/26/19 12:26,4/26/19 13:26,IP Address,"310 Jessica Tunnel Suite 689
Paulaborough, VA 05696",100,3564,TRUE,4/26/19 13:26,R_scni8bjsMymWgV3,,,catherine77@gmail.com,,,,anonymous,EN,"Yes, I consent to participate in this study.",P10,31,5,French,P10,32,French 101,P10
4/26/19 12:27,4/26/19 13:29,IP Address,"070 Hernandez Flats
New Daisymouth, KY 39148",100,3739,TRUE,4/26/19 13:29,R_3dLYoCiYzBmdU8p,,,robertjohnson@gmail.com,,,,anonymous,EN,"Yes, I consent to participate in this study.",P11,82,1,German,P11,238,German 101,P11
5/2/19 8:23,5/2/19 9:01,IP Address,"8675 Black Hollow Suite 856
Sarahview, AL 28557",100,2277,TRUE,5/2/19 9:01,R_vuDU0i7kZNqUogx,,,fisherkatherine@kane-mclean.com,,,,anonymous,EN,"Yes, I consent to participate in this study.",,48,3,Spanish,p13,160,101,p13
5/2/19 8:28,5/2/19 9:13,Survey Preview,"6622 Lee Extension Apt. 148
New Melissa, NM 16412",100,2676,TRUE,5/2/19 9:13,R_3MKhP7H0beC7m5q,,,david85@hotmail.com,,,,preview,EN,,,,,,,,,
5/3/19 12:43,5/3/19 12:56,IP Address,"2108 Jacqueline Course
New Derrickshire, SD 47569",100,791,TRUE,5/3/19 12:56,R_279xKXbthxddxAV,,,davisdaniel@fritz-robbins.com,,,,anonymous,EN,"Yes, I consent to participate in this study.",P19,60,0,Spanish,P19,141,Spanish 101,P19
5/3/19 12:41,5/3/19 12:57,IP Address,"7259 Catherine Track
Morrisonville, MT 13024",100,972,TRUE,5/3/19 12:57,R_vTDKIoGLNngEMFj,,,wrivera@king.com,,,,anonymous,EN,"Yes, I consent to participate in this study.",p18,57,3,Spanish,p18,152,spanish 101,p18
4/26/19 13:19,4/26/19 13:28,IP Address,"224 Sparks Islands
South Valerie, ND 13613",78,521,FALSE,5/3/19 13:29,R_2f1ZRv1VaIe22S9,,,ohamilton@hotmail.com,,,,anonymous,EN,,,,,,,,,
5/10/19 11:04,5/10/19 12:13,IP Address,"03563 Howe Radial Apt. 517
Phillipsfurt, VT 08243",100,4107,TRUE,5/10/19 12:13,R_3EKDyaPDNCsxBWk,,,boydcaitlin@yahoo.com,,,,anonymous,EN,"Yes, I consent to participate in this study.",p30,31,6,Spanish,p30,851,spanish 202,p30
