col0,col1,col2,col3,col4,col5,col6,col7,col8
09/24/2006,Cross,Country,Men,Trailblazers,,,,
"Place,License",,,,,,,,
"1,0,Matteo,Jorgenson,,,15:50,",,,,,,,,
"2,0,Kaylin,Lopez,,,21:50,",,,,,,,,
09/24/2006,Cross,Country,Men,SP,Junior,,,
"Place,License",,,,,,,,
"1,225147,Chase,Dees,Nampa,ID,2:29:11,",,,,,,,,
09/24/2006,Cross,Country,Men,SP,Junior,13-14,,
"Place,License",,,,,,,,
"1,0,Angelo,Roman,,,2:46:50,",,,,,,,,
"DNF,241799,Zachary,Page,Meridian,ID,,",,,,,,,,
09/24/2006,Cross,Country,Men,SP,Junior,15-16,,
"Place,License",,,,,,,,
"1,233563,Dylan,Jones,Austin,TX,2:46:04,",,,,,,,,
09/24/2006,Cross,Country,Men,SP,Senior,19-29,,
"Place,License",,,,,,,,
"1,0,Rob,Floth,,,2:41:06,",,,,,,,,
09/24/2006,Cross,Country,Men,SP,Master,30-39,,
"Place,License",,,,,,,,
"1,0,Erik,Knudsen,,,2:32:25,",,,,,,,,
09/24/2006,Cross,Country,Men,SP,Master,40-49,,
"Place,License",,,,,,,,
"1,210233,Colby,Dees,Nampa,ID,2:58:25,",,,,,,,,
"2,233564,Cahill,Jones,Boise,ID,2:59:30,",,,,,,,,
"DNF,0,Bob,Jamison,,,,",,,,,,,,
09/24/2006,Cross,Country,Men,SP,Master,50-59,,
"Place,License",,,,,,,,
"1,0,Jack,Heagy,,,3:14:42,",,,,,,,,
"2,242722,William","(Bill),Dickerson,Moscow,ID,3:20:34,",,,,,,,
"3,0,Patrick,Frischmuth,,,3:50:45,",,,,,,,,
09/24/2006,Cross,Country,Men,Singlespeed,,,,
"Place,License",,,,,,,,
"1,90758,James,Moores,Boise,ID,5:05:37,",,,,,,,,
09/24/2006,Cross,Country,Men,Pro,Senior,,,
"Place,License",,,,,,,,
"1,197708,Darren,Lightfield,Boise,ID,3:39:53,",,,,,,,,
09/24/2006,Cross,Country,Men,EX,Senior,19-29,,
"Place,License",,,,,,,,
"DNF,215630,Brad,Rogers,Nampa,ID,,",,,,,,,,
09/24/2006,Cross,Country,Men,EX,Master,30-39,,
"Place,License",,,,,,,,
"1,8008,Greg,Coy,Boise,ID,3:40:46,",,,,,,,,
"2,204050,Alex,Phipps,Boise,ID,4:02:34,",,,,,,,,
09/24/2006,Cross,Country,Men,EX,Master,40-49,,
"Place,License",,,,,,,,
"DNF,137045,Greg,Parker,Boise,ID,,",,,,,,,,
09/24/2006,Cross,Country,Men,EX,Master,50-59,,
"Place,License",,,,,,,,
"1,149627,Mark,Klinger,Boise,ID,4:28:53,",,,,,,,,
"2,202562,Dave,Bell,Ketchum,ID,4:33:53,",,,,,,,,
09/24/2006,Cross,Country,Men,Collegiate,A,,,
"Place,License",,,,,,,,
"1,196937,Ian,Delaney,Walla","Walla,WA,3:47:31,Whitman",College,,,,,,
"2,212665,Erik,Davitt,College","Place,WA,4:12:37,Walla",Walla,College,,,,,
"3,0,Steve,Parker,,,4:22:42,Boise",State,University,,,,,,
"DNF,224538,Phil,Grove,Seattle",",WA,,University",of,Montana,,,,,
"DNF,225798,Shaun,Radley,Missoula,MT,,University",of,Montana,,,,,,
"DNF,229618,Toby,Meierbachtol,Missoula,MT,,University",of,Montana,,,,,,
09/24/2006,Cross,Country,Men,Collegiate,B,,,
"Place,License",,,,,,,,
"1,0,Weston,Snyder,,,2:33:17,Boise",State,University,,,,,,
"2,0,David,Schonert,,,3:29:59,Walla",Walla,College,,,,,,
"3,245358,Jesse,Craven,Eagle,ID,4:24:57,Boise",State,University,,,,,,
09/24/2006,Cross,Country,Men,Collegiate,C/d,,,
"Place,License",,,,,,,,
"1,0,Noah,Bronstein,,,1:21:45,Whitman",College,,,,,,,
"2,0,Dustin,Howell,,,1:27:42,Boise",State,University,,,,,,
"3,0,Dylan,Howell,,,1:41:35,Boise",State,University,,,,,,
"4,0,Andrew,Wieg,,,2:04:11,Walla",Walla,College,,,,,,
09/24/2006,Cross,Country,Men,BG,Junior,13-14,,
"Place,License",,,,,,,,
"1,0,Kristopher,Jorgenson,,,2:27:10,",,,,,,,,
09/24/2006,Cross,Country,Men,BG,Junior,15-16,,
"Place,License",,,,,,,,
"1,0,Panos,Panayioutou,,,1:36:20,",,,,,,,,
"2,0,Jackson,Reid,,,1:54:52,",,,,,,,,
09/24/2006,Cross,Country,Men,BG,Senioir,19-29,,
"Place,License",,,,,,,,
"1,0,Brian,Brandon,,,1:17:59,",,,,,,,,
09/24/2006,Cross,Country,Women,Pro,Senior,,,
"Place,License",,,,,,,,
"1,176014,Rebecca,Gross,Golden,CO,2:59:15,",,,,,,,,
09/24/2006,Cross,Country,Women,Collegiate,A,,,
"Place,License",,,,,,,,
"1,0,Heidi,Rentz,,,3:11:09,University",of,Montana,,,,,,
"2,235726,Nylene,Wicks,Missoula,MT,3:11:09,University",of,Montana,,,,,,
"3,243633,Anna,Clark,Missoula,MT,4:45:07,University",of,Montana,,,,,,
09/24/2006,Cross,Country,Women,BG,Senior,19-29,,
"Place,License",,,,,,,,
"DQ,0,Carrie,Magnuson,,,,",,,,,,,,
09/24/2006,Cross,Country,Women,BG,Master,30-39,,
"Place,License",,,,,,,,
"1,0,Kim,Detamore,,,3:15:40,",,,,,,,,
