col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0,mucap,80313201,"332 Davis Island
Rodriguezside, VT 16860","960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",False,2017-08-05,730300606,132.126.211.1,
1,cfia,89181224,"894 Davis Union
Stewartbury, HI 25324","75470 Lopez Roads
Port Jessicatown, TX 55221",True,2016-04-27,119719940,230.169.134.18,
2,banco nacional,85591856,"471 Erika Curve
North Megan, UT 71358","08913 Charlene Flat
Joshuaburgh, NJ 52496",False,2017-01-25,131937220,218.237.103.12,
3,boston scientific,87344128,"339 Riley Mission Suite 515
South Brendamouth, ID 32356","7142 Wilson Drives
Melissaton, IL 89760",True,2016-05-15,131937220,249.113.213.10,
4,intel,80176725,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189","9097 Bowman Landing Apt. 369
Alanberg, MA 44739",True,2016-09-24,459779329,186.133.146.13,
5,hpe,81320878,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961","9004 Edward Prairie
Michaelside, LA 15560",True,2015-09-20,540296096,121.192.215.15,
6,panasonic,86030351,"87091 Gonzalez Knolls
Masseyshire, UT 88665","42814 Houston Hills
Rodriguezside, NJ 62629",False,2016-08-18,540296096,122.173.147.19,
7,bac san jose,85888072,"225 Wilson Mills
North Thomas, OK 67164","71760 Rogers Spur Apt. 296
North Lindseyborough, IN 08516",True,2017-12-28,270049781,113.123.118.19,
8,Vmware,85455703,"PSC 5642, Box 8071
APO AA 97365","8847 Kramer Station
South Christopher, KS 77208",True,2016-10-27,119719940,187.116.179.7,
9,IBM,87127484,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742","51108 Goodwin Flats Apt. 764
Lake Bobby, IL 82213",True,2017-05-01,540296096,158.171.121.14,
