col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60
100840323,5156456127804,MMXT07,MO736ELAA4SAMDANID-9509947,2016-11-11 20:10:18,2017-09-20 00:46:57,335471461,No,Norma Fisher,qgrimes@gmail.com,,Norma Fisher,"80160 Clayton Isle Apt. 513
East Linda, ND 59217",,Banten,Kab. Tangerang,Kresek,83875004847.0,,Kab. Tangerang,,Indonesia,,Norma Fisher,"80160 Clayton Isle Apt. 513
East Linda, ND 59217",,Banten,Kab. Tangerang,Kresek,83875004847.0,,Kab. Tangerang,,Indonesia,COD,35000.0,35000.0,0.0,,Norma Fisher,,,REPEX MP,Norma Fisher,standard,,782012680020,,,,,,No,shipped,,,,,,,
101694518,5384983229916,BMVOY153,CA529ELAA5EZ8MANID-10966036,2016-11-23 18:21:05,2017-09-20 00:55:24,375944181,No,Jorge Sullivan,cortezraymond@garrett.com,,Jorge Sullivan,"714 Mann Plaza Suite 839
Seanfurt, OK 32234",,Jawa Barat,Kab. Bandung,Baleendah,85295657777.0,,Kab. Bandung,,Indonesia,,Jorge Sullivan,"714 Mann Plaza Suite 839
Seanfurt, OK 32234",,Jawa Barat,Kab. Bandung,Baleendah,85295657777.0,,Kab. Bandung,,Indonesia,COD,27000.0,27000.0,0.0,,Jorge Sullivan,,,LEX MP,Jorge Sullivan,standard,,MPDS-375944181-9509,,,,,,No,shipped,,,,,,,
101708989,5388653934274,BMSG50,CA513ELAA4JDNAANID-8943077,2016-11-24 00:26:08,2017-09-20 00:55:35,319979181,No,Elizabeth Woods,jane13@walker.net,,Elizabeth Woods,"09471 Erika Curve
North Megan, UT 71358",,Jawa Barat,Kota Bandung,Rancasari,89684204723.0,,Kota Bandung,,Indonesia,,Elizabeth Woods,"09471 Erika Curve
North Megan, UT 71358",,Jawa Barat,Kota Bandung,Rancasari,89684204723.0,,Kota Bandung,,Indonesia,COD,25000.0,25000.0,10000.0,,Elizabeth Woods,,,LEX MP,Elizabeth Woods,standard,,MPDS-319979181-3987,,,,,,No,shipped,,,,,,,
101749620,5399592670513,BMSGP03,CA513ELAA4XJOIANID-9826002,2016-11-24 16:37:43,2017-09-20 00:55:57,366658381,No,Susan Wagner,millerluke@hotmail.com,,Susan Wagner,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",,Jawa Barat,Kab. Bandung,Arjasari,85603060270.0,,Kab. Bandung,,Indonesia,,Susan Wagner,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",,Jawa Barat,Kab. Bandung,Arjasari,85603060270.0,,Kab. Bandung,,Indonesia,COD,26900.0,26900.0,0.0,,Susan Wagner,,,LEX MP,Susan Wagner,standard,,MPDS-366658381-4409,,,,,,No,shipped,,,,,,,
102390079,5578371656211,UTXIR3S1,SO908ELAA5R61TANID-11822420,2016-12-03 07:45:30,2017-09-20 01:02:41,378845411,No,Peter Montgomery,turnerkelly@gmail.com,,Peter Montgomery,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",,DKI Jakarta,Kota Jakarta Utara,Cilincing,87752046714.0,,Kota Jakarta Utara,,Indonesia,,Peter Montgomery,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",,DKI Jakarta,Kota Jakarta Utara,Cilincing,87752046714.0,,Kota Jakarta Utara,,Indonesia,COD,9000.0,9000.0,5000.0,,Peter Montgomery,,,LEX MP,Peter Montgomery,standard,,MPDS-378845411-9982,,,,,,No,shipped,,,,,,,
102418567,5583307862336,BMSGP03,CA513ELAA4XJOIANID-9826002,2016-12-03 12:38:44,2017-09-20 01:02:52,356752211,No,Theodore Mcgrath,tamaramorrison@hotmail.com,,Theodore Mcgrath,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",,Banten,Kota Tangerang,Tangerang,87887715289.0,,Kota Tangerang,,Indonesia,,Theodore Mcgrath,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",,Banten,Kota Tangerang,Tangerang,87887715289.0,,Kota Tangerang,,Indonesia,COD,26900.0,26900.0,0.0,,Theodore Mcgrath,,,LEX MP,Theodore Mcgrath,standard,,MPDS-356752211-2358,,,,,,No,shipped,,,,,,,
102493639,5597088674713,1TGAZNG,TE615ELAA5CY9GANID-10809683,2016-12-04 10:00:13,2017-09-20 01:03:27,369545611,No,Stephanie Collins,zdavis@yahoo.com,,Stephanie Collins,"87091 Gonzalez Knolls
Masseyshire, UT 88665",,Banten,Kota Tangerang Selatan,Pondok Aren,81218984092.0,,Kota Tangerang Selatan,,Indonesia,,Stephanie Collins,"87091 Gonzalez Knolls
Masseyshire, UT 88665",,Banten,Kota Tangerang Selatan,Pondok Aren,81218984092.0,,Kota Tangerang Selatan,,Indonesia,COD,15000.0,15000.0,5000.0,,Stephanie Collins,,,LEX MP,Stephanie Collins,standard,,MPDS-369545611-6110,,,,,,No,shipped,,,,,,,
102493115,5597926824308,TGSAXA,TE615ELAA5W6EKANID-12350651,2016-12-04 10:56:52,2017-09-20 01:03:27,325315611,No,Stephanie Sutton,kellylopez@gmail.com,,Stephanie Sutton,"225 Wilson Mills
North Thomas, OK 67164",,DKI Jakarta,Kota Jakarta Barat,Kalideres,89606530052.0,,Kota Jakarta Barat,,Indonesia,,Stephanie Sutton,"225 Wilson Mills
North Thomas, OK 67164",,DKI Jakarta,Kota Jakarta Barat,Kalideres,89606530052.0,,Kota Jakarta Barat,,Indonesia,COD,25000.0,25000.0,5000.0,,Stephanie Sutton,,,LEX MP,Stephanie Sutton,standard,,MPDS-325315611-3682,,,,,,No,shipped,,,,,,,
102503398,5598993852980,BMSGJT1,CA513ELAA4S9DBANID-9507937,2016-12-04 12:07:28,2017-09-20 01:03:27,311631611,No,Brian Hamilton,thomas12@mclean.net,,Brian Hamilton,"PSC 5642, Box 8071
APO AA 97365",,Banten,Kota Tangerang,Tangerang,85883241338.0,,Kota Tangerang,,Indonesia,,Brian Hamilton,"PSC 5642, Box 8071
APO AA 97365",,Banten,Kota Tangerang,Tangerang,85883241338.0,,Kota Tangerang,,Indonesia,COD,39000.0,39000.0,0.0,,Brian Hamilton,,,LEX MP,Brian Hamilton,standard,,MPDS-311631611-1668,,,,,,No,shipped,,,,,,,
102541842,5607013766722,1BMXIR3X2,CA529ELAA5PEQIANID-11582073,2016-12-04 20:51:09,2017-09-20 01:03:50,364555911,No,Susan Levy,aimee33@hotmail.com,,Susan Levy,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",,,,,,,,,,,Susan Levy,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",,,,,,,,,,,,,,,Susan Levy,,,,Susan Levy,,,,,,,,,,,,,,,,,
