col0,col1,col2,col3,col4,col5,col6,col7
UIDA001,Harvard University,4,Northeast,Cambridge,MA,74,47
UIDA002,Massachusetts Institute of Technology,4,Northeast,Cambridge,MA,74,47
UIDA003,Stanford University,1,West,Stanford,CA,78,65
UIDA004,Vanderbilt University,3,South,Nashville,TN,83,62
UIDA005,California Institute of Technology,1,West,Pasadena,CA,89,72
UIDA006,Princeton University,4,Northeast,Princeton,NJ,77,51
UIDA007,Yale University,4,Northeast,New Haven,CT,75,49
UIDA008,Columbia University,4,Northeast,New York,NY,76,50
UIDA009,"University of California, Berkeley",1,West,Berkeley,CA,74,63
UIDA010,University of Chicago,2,Midwest,Chicago,IL,74,45
UIDA011,Cornell University,4,Northeast,Ithaca,NY,74,45
UIDA012,University of Pennsylvania,4,Northeast,Philadelphia,PA,80,53
UIDA013,Johns Hopkins University,3,South,Baltimore,MD,80,55
UIDA014,"University of California, Los Angeles",1,West,Los Angeles,CA,83,70
UIDA015,"University of California, San Diego",1,West,San Diego,CA,77,67
UIDA016,New York University,4,Northeast,New York City,NY,76,50
UIDA017,Dartmouth University,4,Northeast,Hanover,NH,72,43
UIDA018,University of Wisconsin Madison,4,Northeast,Madison,WI,74,44
UIDA019,University of Illinois at Urbana Champaign,2,Midwest,Champaign,IL,78,50
UIDA020,Duke University,3,South,Durham,NC,82,62
UIDA021,Northwestern University,2,Midwest,Evanston,IL,74,46
UIDA022,"University of Michigan, Ann Arbor",2,Midwest,Ann Arbor,MI,75,46
UIDA023,University of North Carolina at Chapel Hill,3,South,Chapel Hill,NC,82,63
UIDA024,Washington University in St. Louis,2,Midwest,St. Louis,MO,81,56
UIDA025,University of Utah,1,West,Salt Lake City,UT,79,56
UIDA026,University of Washington - Seattle,1,West,Seattle,WA,69,55
UIDA027,"University of California, Santa Barbara",1,West,Santa Barbara,CA,76,67
UIDA028,"Purdue University, West Lafayette",2,Midwest,West Lafayette,IN,78,50
UIDA029,Carnegie Mellon University,4,Northeast,Pittsburgh,PA,76,50
UIDA030,University of Southern California,1,West,Los Angeles,CA,83,70
