col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
"week 1
18/3 - 21/3",8th Sem,20/3/20,E-Commerce,CS 802 E,Introduction to E-Commerce ,"Google Classroom,
oo2b6eu
",Sougata Bera,20/3/20,7:00 p.m.,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/m/Njg5NTk2OTA0sdcS/details,60 Min,Google Class Room                                              ,No,No,No,,
"week 1
18/3 - 21/3",8th Sem,20/3/20,Organisational Behaviour,HU 801 A,Assignment given,"Whatsapp, Email",Surabhi Sinha,20/3/20,8:00: PM,na,na,"Whatsapp, Email",Yes,no,not yet,,
"week 2
23/3 - 28/3",8th Sem,23/3/20,E-Commerce,CS 802E,Electronic Data Interchange and Internet Commerce.,"Google Classroom,
oo2b6eu
",Sougata Bera,23/3/20,12:40 p.m.,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/m/Njg5NTk2OTA0MDBa/details,60 Min,Google Class Room                                              ,No,No,No,,
"week 2
23/3 - 28/3",8th Sem,24/3/20,Organisational Behaviour,HU 801 A,Lecture notes : Emotions & attitudes                                           ,"Whatsapp, Email",Surabhi Sinha,24/3/20,11:45: AM,na,na,"Whatsapp, Email",no,yes,not yet,,
"week 2
23/3 - 28/3",8th Sem,24/3/20,Cryptography & Network Security,CS-801D,Asymmetric Key Algorithm (RSA Algorithm): Digital Signature: Message Digest (MD): Hash Function:,Google Class Room,Subhash Mondal,24/3/20,3:00: PM,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/a/NjQyMTQwMjgwNTda/details,110 Mins,Google Class Room                                              ,Yes,Yes,Yes,,
"week 3
30/3 -4/4",8th Sem,31/3/20,Cryptography & Network Security,CS-801D,"Internet Security Protocols (SSL Protocol): User Authentication Concepts, Techniques, Protocols:",Google Class Room,Subhash Mondal,31/3/20,3:30: PM,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/a/NjQyMTQwMjgwNTda/details,110 Mins,Google Class Room   ,Yes,Yes,Yes,,
"week 3
30/3 -4/4",8th Sem,1/4/20,Organisational Behaviour,HU 801 A,Leadership,"Whatsapp, Email",Surabhi Sinha,1/4/20,2:00: PM,na,na,"Whatsapp, Email",no,no,not yet,,
"week 3
30/3 -4/4",8th Sem,2/4/20,E-Commerce,CS 802E,Business  to  Business  E-Commerce,"Google Classroom,
oo2b6eu
",Sougata Bera,2/4/20,5:30 p.m.,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/m/DFR/detailsTGFDSCVscd/details,60 Min,Google Class Room                                              ,No,No,No,,
"week 3
30/3 -4/4",8th sem,4/4/20,Design Lab,CS 891,"Lab Note 1: Problem Indentification, Idea Generation",Group Email/ Whatsapp,Subhrapratim Nath,4/4/20,9:00 PM,na,na,Interaction through video calling using Whatsapp,no,no,no,,
"week 4
6/4 - 11/4",8th Sem,6/4/20,Organisational Behaviour,HU 801 A,Motivation ,"Google Class , ",Surabhi Sinha,6/4/20,1pm-2pm,na,60 min,Google Class Room                                              ,no,no,not yet,,
"week 4
6/4 - 11/4",8th Sem,7/4/20,Cryptography & Network Sercurity,CS-801D,"Electronic Mail Security (Concepts, PGP Protocol)",Google Class Room,Subhash Mondal,7/4/20,4:00 PM,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/a/NjQyMTQwMjgwNTda/details,110 Mins,Google Class Room   ,Yes,Yes,Yes,,
"week 4
6/4 - 11/4",8th Sem,8/4/20,Organisational Behaviour,HU 801 A,Assignment given,"Google Class , ",Surabhi Sinha,8/4/20,10:45: AM,na,na,Google Class Room                                              ,yes,no,not yet,,
"week 4
6/4 - 11/4",8th Sem,9/4/20,E-Commerce,CS 802E,"Authentication of Electronic document,","Google Classroom,
oo2b6eu
",Sougata Bera,9/4/20,11:30 a.m.,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/m/ODkzMTY3MDQxNzla/details,80 Min,Google Class Room                                              ,Yes,Yes,No,,
"week 4
6/4 - 11/4",8th sem,9/4/20,Project ,CS 892,Final Yr Project Status Report 1,"Google Claasroom ID: oo2b6eu
",Subhrapratim Nath,9/4/20,9:00 PM,https://classroom.google.com/u/0/w/NDE0OTEwNzU0MjZa/t/all,na,Project Status Report Template,Yes,yes,no,,
"week 4
6/4 - 11/4",8th sem,10/4/20,Design Lab,CS 891,"Lab Note 2: Solution approach, Design methodology",Group Email/ Whatsapp,Subhrapratim Nath,10/4/20,8:15 PM,na,na,Interaction through video calling using Whatsapp,no,no,no,,
"week 5
13/4 - 18/4",8th Sem,13/4/20,Organisational Behaviour,HU 801 A,Conflict management,"Google Class , ",Surabhi Sinha,13/4/20,11 am-12pm,na,60 min,Google Class Room                                              ,no,yes,not yet,,
"week 5
13/4 - 18/4",8th Sem,14/4/20,Cryptography & Network Security,CS-801D,Electronic Mail Security: S/MIME Protocols,Google Class Room,Subhash Mondal,7/4/20,3:30 PM,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/m/NjgyMjczNDQ5ODRa/details,110 Mins,Google Class Room,Yes,Yes,Yes,,
"week 5
13/4 - 18/4",8th Sem,15/4/20,E-Commerce,CS 802E,Legal issues,"Google Classroom,
oo2b6eu
",Sougata Bera,15/4/20,7:50 p.m.,https://classroom.google.com/u/0/c/NDE0OTEwNzU0MjZa/m/ODkzMTY3MDQSPxca/details,60 Min,Google Class Room                                              ,No,No,Yes,,
"week 5
13/4 - 18/4",8th sem,17/4/20,Design Lab,CS 891,Design problem set 1,Group Email/ Whatsapp,Subhrapratim Nath,17/4/20,8:30 PM,na,na,no,yes,no,no,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
