col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11
0,Yoeli Childs,23,SO,F,6-8,225,"South Jordan, UT",Bingham HIgh School, 18.0 Pts,8.6 Reb,2.2 Ast
1,Elijah Bryant,3,JR,G,6-4,225,"Gwinnett, GA",New Hampton (NH), 17.9 Pts,6.2 Reb,2.3 Ast
2,TJ Haws,30,SO,G,6-4,170,"Alpine, UT",Lone Peak High School, 11.8 Pts,2.8 Reb,4.2 Ast
3,Jashire Hardnett,0,SO,G,5-11,170,"Gulfport, MS",Gulfport HS, 5.9 Pts,2.7 Reb,2.0 Ast
4,Zac Seljaas,2,SO,G,6-7,215,"Bountiful, UT",Bountiful HS, 5.2 Pts,1.9 Reb,1.4 Ast
5,Luke Worthington,41,JR,F,6-10,235,"Mequon, WI",Homestead, 4.3 Pts,2.8 Reb,0.5 Ast
6,Dalton Nixon,33,SO,F,6-7,215,"Orem, UT",Highland, 6.0 Pts,3.0 Reb,1.3 Ast
7,McKay Cannon,24,JR,G,6-1,185,"Shelley, ID",Shelly HS, 3.6 Pts,1.2 Reb,1.5 Ast
8,Payton Dastrup,15,SO,F,6-10,250,"Mesa, AZ",Mountain View High School, 3.3 Pts,1.9 Reb,0.5 Ast
9,Rylan Bergersen,1,FR,G,6-6,200,"Boise, ID",, 1.0 Pts,0.4 Reb,0.1 Ast
10,Kajon Brown,13,JR,G,6-4,185,"Harvey, LA",Helen Cox HS, 0.8 Pts,0.1 Reb,0.1 Ast
11,Evan Troy,21,SO,G,6-5,180,"Longview, WA",, 0.5 Pts,0.2 Reb,0.2 Ast
12,Braiden Shaw,31,,F,6-9,210,"Eagle, ID",Eagle HS, 0.0 Pts,0.0 Reb,0.0 Ast
13,Ryan Andrus,10,,F,6-11,240,,American Fork,,,
14,Kyle Davis,21,,F,6-8,225,"Draper, UT",Alta,,,
15,Nick Emery,4,,G,6-2,185,"Alpine, UT",Lone Peak HS,,,
16,Kolby Lee,99,,F,6-9,260,,,,,
