col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
Norma Fisher,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,"9342 Lori Bypass Suite 711
East Sandra, CO 92162",Norma Fisher,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,12:00:00 - 05:00,17:30:00 - 05:00,False,False,False,10-25-2016,10-25-2016,EV,1,"9342 Lori Bypass Suite 711
East Sandra, CO 92162",1st Fl Conf Rm,12:00 PM - 05:30 PM,,ho36120506,False,True,,,,poll90443080
Jorge Sullivan,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,"PSC 8684, Box 8339
APO AA 76482",Jorge Sullivan,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:30:00 - 05:00,False,False,False,10-26-2016,10-28-2016,EV,2,"PSC 8684, Box 8339
APO AA 76482",1st Fl Conf Rm,09:30 AM - 05:30 PM,,ho36120506,False,True,,,,poll90443080
Elizabeth Woods,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,"515 Tom Roads Suite 330
Davebury, WY 22846",Elizabeth Woods,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,13:00:00 - 05:00,False,False,False,10-29-2016,10-29-2016,EV,3,"515 Tom Roads Suite 330
Davebury, WY 22846",1st Fl Conf Rm,09:30 AM - 01:00 PM,,ho36120506,False,True,,,,poll90443080
Susan Wagner,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,"23098 Anthony Roads
New Maria, MO 12498",Susan Wagner,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:30:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,4,"23098 Anthony Roads
New Maria, MO 12498",1st Fl Conf Rm,09:30 AM - 05:30 PM,,ho36120506,False,True,,,,poll90443080
Peter Montgomery,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,"90321 Clark Union
Lake Andrewchester, CT 34569",Peter Montgomery,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,13:00:00 - 05:00,False,False,False,11-05-2016,11-05-2016,EV,5,"90321 Clark Union
Lake Andrewchester, CT 34569",1st Fl Conf Rm,09:30 AM - 01:00 PM,,ho36120506,False,True,,,,poll90443080
Theodore Mcgrath,ocd-division/country:us/state:nd/county:burleigh,Burleigh County ND,,(701) 222-6718,"456 Bruce Mountain
New Craigfurt, KS 47497",Theodore Mcgrath,221 N 5th St,1st Fl Conf Rm,Bismarck,ND,58501,09:30:00 - 05:00,17:00:00 - 06:00,False,False,False,11-07-2016,11-07-2016,EV,6,"456 Bruce Mountain
New Craigfurt, KS 47497",1st Fl Conf Rm,09:30 AM - 05:00 PM,,ho36120506,False,True,,,,poll90443080
Stephanie Collins,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,"PSC 7923, Box 0225
APO AP 33359",Stephanie Collins,3333 13th Ave S,,Fargo,ND,58103,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,7,"PSC 7923, Box 0225
APO AP 33359",,10:00 AM - 07:00 PM,,ho17564606,False,True,,,,poll75699859
Stephanie Sutton,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,"207 Mccullough Well Suite 564
New Hannah, WA 10865",Stephanie Sutton,825 E Beaton Dr,,West Fargo,ND,58078,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,8,"207 Mccullough Well Suite 564
New Hannah, WA 10865",,10:00 AM - 07:00 PM,,ho3741474,False,True,,,,poll36478181
Brian Hamilton,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,"423 Bell Heights
Brittanyberg, ME 51359",Brian Hamilton,1800 N University Dr,,Fargo,ND,58102,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,10-31-2016,11-04-2016,EV,9,"423 Bell Heights
Brittanyberg, ME 51359",,10:00 AM - 07:00 PM,,ho47977112,False,True,,,,poll9311428
Susan Levy,ocd-division/country:us/state:nd/county:cass,Cass County ND,,(701) 241-5600,"93523 Dana Lane
Johnsonshire, WI 87296",Susan Levy,2050 Governor's Dr,,Casselton,ND,58012,10:00:00 - 05:00,19:00:00 - 05:00,False,False,False,11-02-2016,11-04-2016,EV,10,"93523 Dana Lane
Johnsonshire, WI 87296",,10:00 AM - 07:00 PM,,ho19361141,False,True,,,,poll42155907
