col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35
ARS,USDA Agricultural Research Service,ARS-IAWC-IAWC225,IAWC225,,,7080105,,,,,,,,,,,,,,,,,,US,19,15.0,,,,,,,,,STEWARDS
ARS,USDA Agricultural Research Service,ARS-IAWC-IAWC410,IAWC410,,,7100004,,,,,,,,,,,,,,,,,,US,19,15.0,,,,,,,,,STEWARDS
USGS,,USGS-11421000,,,,18020107,,,,,,,,,,,,,,,,,,US,6,115.0,,,,,,,,,NWIS
USGS,USGS Wisconsin Water Science Center,USGS-433830088977331,a well,,,10090003,,,,,,,,,,,,,,,,,,CN,55,13.0,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05425700,"ROBBINS CREEK NEAR COLUMBUS, WI",,,7090002,,,,,,,,,,,,,,,,,,US,55,21.0,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-431925089002701,DG-10/13E/19-0891,,,7090102,,,,,,,,,,,,,,,,,,US,55,27.0,,,,,,,,,NWIS
11NPSWRD,National Park Service Water Resources Division,11NPSWRD-BICA_MFG_B,BIGHORN LAKE NEAR BLACK CANYON,,,7080105,,,,,,,,,,,,,,,,,,US,30,3.0,,,,,,,,,STORET
21NYDECA_WQX,New York State DEC Division of Water,21NYDECA_WQX-ONTARIO-02,Lake Ontario,Great Lake,Near Kingston Bay (Canada),4150200,,,,,44.0167,-76.67,,,,GPS-Unspecified,NAD83,74.,m,,,Topographic Map Interpolation,SEALV,CN,8,,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-10030952,Crawfish River -- Astico County Park Canoe Launch,,,7090001,,,,,,,,,,,,,,,,,,US,55,17.0,,,,,,,,,STORET
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-113086,Crawfish River at Old Hwy 73 Bridge,River/Stream,STATION FOR STEVEN FIX	 OF SOUTHERN DISTRICT  (608)275-3280 THIS IS A FIXED AMBIENT MONITORING STATION IN THE UPPER RIVER BASIN. IT IS PAIRED WITH AN EXISTING STORET AND USGS STATION AT MILFORD. IT IS LOCATED BELOW THE CONFLUENCE OF THE NORTH BR,7090001,,,,,43.348562,-89.009255,,,,Unknown,NAD83,,,,,,,US,55,27.0,,,,,,,,,STORET
organization,organizationName,organization-siteId,stationName,stationTypeName,descriptionText,0,4569872.0,drainAreaUnit,567893.0,contribDrainAreaUnit,43.333,-89.8989,mapScale,geopositionAccyValue,geopositionAccyUnit,geopositioningMethod,hdatumIdCode,elevationValue,elevationUnit,verticalAccuracyValue,verticalAccuracyUnit,elevationMethod,vdatumIdCode,XX,44,555.0,natAqfrName,aqfrName,aqfrTypeName,constructionDate,2333.0,wellDepthUnit,2345.0,holeDepthUnit,STORET
organization,organizationName,organization-siteId2,stationName,stationTypeName,descriptionText,0,4569872.0,drainAreaUnit,567893.0,contribDrainAreaUnit,43.333,-89.8989,mapScale,geopositionAccyValue,geopositionAccyUnit,geopositioningMethod,hdatumIdCode,elevationValue,elevationUnit,verticalAccuracyValue,verticalAccuracyUnit,elevationMethod,vdatumIdCode,XX,44,555.0,natAqfrName,aqfrName,aqfrTypeName,constructionDate,2333.0,wellDepthUnit,2345.0,holeDepthUnit,STORET
organization,organizationName,organization-siteId3,stationName,stationTypeName,descriptionText,0,4569872.0,drainAreaUnit,567893.0,contribDrainAreaUnit,43.333,-89.8989,mapScale,geopositionAccyValue,geopositionAccyUnit,geopositioningMethod,hdatumIdCode,elevationValue,elevationUnit,verticalAccuracyValue,verticalAccuracyUnit,elevationMethod,vdatumIdCode,XX,44,555.0,natAqfrName,aqfrName,aqfrTypeName,constructionDate,2333.0,wellDepthUnit,2345.0,holeDepthUnit,STORET
