col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41
count,13446.0,13446,13446,13446,13446.0,13446,13446,13446.0,13446.0,13446,13446.0,13446,13446.0,13446.0,13446.0,13446,13446.0,13446,13446.0,13446.0,13446.0,11446,11908,13446.0,13446,11628,13446.0,13446,336,1132,358,237.0,15.0,210.0,584.0,358.0,13446.0,13446.0,13446,1536,13446
unique,,1,1,1,,760,1,20.0,20.0,20,,3,,,,537,,38,1.0,,,1521,1912,1263.0,557,1098,,9,79,127,40,,,,,,,,539,11,554
top,,successful,google,selenium,,2018-01-04 06:08:45.110071,localhost,39.005441,-94.343326,"64064, Lee's Summit, MO",,popular,,,,"About 289,000,000 results (0.62 seconds) ",,death penalty,,,,Domino's Pizza,"Animal testing, also known as animal experimentation, animal research and in vivo testing, is the use of non-human animals in experiments that seek to control the variables that affect the behavior or biological system under study.",,en.wikipedia.org,Fox News,,results,"Sep 17, 2016 - Uploaded by euronews (in English)",‎Supreme Court Bar · ‎Supreme Court at Work · ‎The Supreme Court Building · ‎Jobs,"People also askWhat is the religion of Barack Obama?Though Obama is a practicing Christian and he was chiefly raised by his mother and her Christian parents, his father, Barack Obama, Sr., with whom he lived only as a baby, he characterized as a Muslim-raised atheist, and his stepfather, Lolo Soetoro, with whom he lived during his early childhood, was nominally Muslim.Barack Obama religion conspiracy theories - Wikipediahttps://en.wikipedia.org/wiki/Barack_Obama_religion_conspiracy_theoriesSearch for: What is the religion of Barack Obama?Who is the Michelle Obama?Michelle LaVaughn Robinson Obama (born January 17, 1964) is an American lawyer and writer who was First Lady of the United States from 2009 to 2017. She is married to the 44th President of the United States, Barack Obama, and is the first African-American First Lady.Michelle Obama - Wikipediahttps://en.wikipedia.org/wiki/Michelle_ObamaSearch for: Who is the Michelle Obama?How old is President Obama and Michelle Obama?Michelle Obama, née Robinson, the wife of Barack Obama, was born on January 17, 1964, in Chicago, Illinois. She is a lawyer and was a University of Chicago Hospital vice-president. She was the First Lady of the United States.Family of Barack Obama - Wikipediahttps://en.wikipedia.org/wiki/Family_of_Barack_ObamaSearch for: How old is President Obama and Michelle Obama?How long did Obama serve in the Senate?He is the first African American to have served as president. He previously served in the U.S. Senate representing Illinois from 2005 to 2008 and in the Illinois State Senate from 1997 to 2004. Obama was born in 1961 in Honolulu, Hawaii, two years after the territory was admitted to the Union as the 50th state.Barack Obama - Wikipediahttps://en.wikipedia.org/wiki/Barack_ObamaSearch for: How long did Obama serve in the Senate?",,,,,,,,wikipedia.org,tfo$,wikipedia.org_nan
freq,,13446,13446,13446,,29,13446,691.0,691.0,691,,6659,,,,111,,546,13446.0,,,74,40,720.0,1386,122,,8531,20,20,20,,,,,,,,1386,967,1386
mean,380.2730923694779,,,,1.0,,,,,,0.0,,3.466904655659676,52210.02721999108,0.4445589321274248,,18.57861073925331,,,0.0,6723.5,,,,,,4.728990034210918,,,,,1.0,1.0,1.0,1.0,1.0,380.2730923694779,19.49152164212405,,,
std,218.9443884563068,,,,0.0,,,,,,0.0,,2.499873891527552,14354.682859486578,0.2050648038129071,,4.012998667806665,,,0.0,3881.670194645599,,,,,,3.4907138105271494,,,,,0.0,0.0,0.0,0.0,0.0,218.9443884563068,10.945650015218112,,,
min,1.0,,,,1.0,,,,,,0.0,,1.0,35035.0,0.127913279133,,8.0,,,0.0,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
25%,190.0,,,,1.0,,,,,,0.0,,1.0,41102.0,0.277405710257,,16.0,,,0.0,3362.25,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,1.0,190.0,10.0,,,
50%,395.0,,,,1.0,,,,,,0.0,,1.0,51391.0,0.452434126751,,18.0,,,0.0,6723.5,,,,,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,395.0,20.0,,,
75%,565.0,,,,1.0,,,,,,0.0,,6.0,57207.0,0.632820450638,,22.0,,,0.0,10084.75,,,,,,7.0,,,,,1.0,1.0,1.0,1.0,1.0,565.0,29.0,,,
max,760.0,,,,1.0,,,,,,0.0,,6.0,96310.0,0.733480189578,,29.0,,,0.0,13446.0,,,,,,14.0,,,,,1.0,1.0,1.0,1.0,1.0,760.0,38.0,,,
