col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21
Definition,0,file_id,manufacturer,1,,type,1,,product,1.0,,serial_number,1,,,,,,,,
Data,0,file_id,manufacturer,15,,type,4,,garmin_product,9001.0,,serial_number,1701,,,,,,,,
Definition,0,developer_data_id,application_id,16,,developer_data_index,1,,,,,,,,,,,,,,
Data,0,developer_data_id,application_id,1|1|2|3|5|8|13|21|34|55|89|144|233|121|98|219,,developer_data_index,0,,,,,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1.0,,field_name,17,,units,10,,,,,
Data,0,field_description,developer_data_index,0,,field_definition_number,0,,fit_base_type_id,1.0,,field_name,doughnuts_earned,,units,doughnuts,,,,,
Definition,0,record,heart_rate,1,,cadence,1,,distance,1.0,,speed,1,,doughnuts_earned,1,,,,,
Data,0,record,heart_rate,140,bpm,cadence,88,rpm,distance,510.0,m,speed,47.488,m/s,enhanced_speed,47.488,m/s,doughnuts_earned,1.0,doughnuts,
Data,0,record,heart_rate,143,bpm,cadence,90,rpm,distance,2080.0,m,speed,36.416,m/s,enhanced_speed,36.416,m/s,doughnuts_earned,2.0,doughnuts,
Data,0,record,heart_rate,144,bpm,cadence,92,rpm,distance,3710.0,m,speed,35.344,m/s,enhanced_speed,35.344,m/s,doughnuts_earned,3.0,doughnuts,
