col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
04/30/2006,Cross,Country,Men,Sport/,Expert,Master,40-49,,,,,,
"Place,License",,,,,,,,,,,,,
"1,226419,Matthew,Allen,La","Grande,OR,1:41:15,",,,,,,,,,,,,
"3,229695,Adam,Winstral,Boise,ID,1:45:22,",,,,,,,,,,,,,
"4,232996,Gary,Stott,Boise,ID,1:45:32,",,,,,,,,,,,,,
"5,0,Claren,Peroz,,,1:51:04,",,,,,,,,,,,,,
"6,178727,Mark,Knowles,Boise,ID,1:55:10,",,,,,,,,,,,,,
"7,204206,Craig,Austin,Wilsonville,OR,2:12:29,",,,,,,,,,,,,,
04/30/2006,Cross,Country,Men,SP,Junior,15-16,,,,,,,
"Place,License",,,,,,,,,,,,,
"1,202059,Ethan,Maier,Yakima,WA,1:36:47,",,,,,,,,,,,,,
04/30/2006,Cross,Country,Men,SP,Junior,16-18,,,,,,,
"Place,License",,,,,,,,,,,,,
"1,0,Allen,Steckmest,,,01:27:08,Lost",River,Cycling,,,,,,,,,,,
04/30/2006,Cross,Country,Men,SP,Junior,17-18,,,,,,,
"Place,License",,,,,,,,,,,,,
"1,150864,Allen,Steckmest,Boise,ID,1:26:37,",,,,,,,,,,,,,
04/30/2006,Cross,Country,Men,SP,Senior,19-29,,,,,,,
"Place,License",,,,,,,,,,,,,
"1,0,Eric,Denning,,,01:35:15,DHC",,,,,,,,,,,,,
"2,0,Eric,Davis,,,02:25:32,",,,,,,,,,,,,,
04/30/2006,Cross,Country,Men,SP,Master,30-39,,,,,,,
"Place,License",,,,,,,,,,,,,
"1,0,Kevin,Donovan,,,01:27:19,",,,,,,,,,,,,,
"2,0,Shane,Niemayer,,,01:30:00,Napa",Auto,Parts,,,,,,,,,,,
"3,0,Todd,Wong,,,01:35:56,Ken's",Bike,Warehouse,,,,,,,,,,,
"4,0,Keith,Bickford,,,01:36:52,Team",Tamarack,,,,,,,,,,,,
