col0,col1,col2,col3,col4,col5,col6,col7,col8
FERET (facial recognition technology) ,11338 images of 1199 individuals in different positions and at different times. ,None. ,"11,338 ",Images ,"Classification, face recognition ",2003, doi=10.1016/s0262-8856(97)00070-x citeseerx = 10.1.1.44.2321  ,United States Department of Defense 
Ryerson Audio-Visual Database of Emotional Speech and Song (RAVDESS) ,"7,356 video and audio recordings of 24 professional actors. 8 emotions each at two intensities. ",Files labelled with expression. Perceptual validation ratings provided by 319 raters. ,"7,356 ","Video, sound files ","Classification, face recognition, voice recognition ",2018, bibcode=2018PLoSO..1396391L chapter=Emotion ,S.R. Livingstone and F.A. Russo 
SCFace ,Color images of faces at various angles. ,Location of facial features extracted. Coordinates of features given. ,"4,160 ","Images, text ","Classification, face recognition ",2011," s2cid = 207218990 Wallace, Roy, et al. ""Inter-session variability modelling and joint factor analysis for face authentication."" Biometrics (IJCB), 2011 International Joint Conference on. IEEE, 2011. ",M. Grgic et al. 
Yale Face Database ,Faces of 15 individuals in 11 different expressions. ,Labels of expressions. ,165 ,Images ,Face recognition ,1997, page = 1997  s2cid = 7334355  ,J. Yang et al. 
Cohn-Kanade AU-Coded Expression Database ,Large database of images with labels for expressions. ,Tracking of certain facial features. ,500+ sequences ,"Images, text ",Facial expression analysis ,2000,"Kanade, Takeo, Jeffrey F. Cohn, and Yingli Tian. ""Comprehensive database for facial expression analysis."" Automatic Face and Gesture Recognition, 2000. Proceedings. Fourth IEEE International Conference on. IEEE, 2000. citeseerx = 10.1.1.144.217  ",T. Kanade et al. 
JAFFE Facial Expression Database ,213 images of 7 facial expressions (6 basic facial expressions + 1 neutral) posed by 10 Japanese female models. ,Images are cropped to the facial region. Includes semantic ratings data on emotion labels. ,213 ,"Images, text ",Facial expression cognition ,1998," chapter=Facial expression imagesLyons, Michael, Akamatsu, Shigeru, Kamachi, Miyuki, Gyoba, Jiro ""Coding facial expressions with Gabor wavelets."" Automatic Face and Gesture Recognition, 1998. Proceedings. Third IEEE International Conference on. IEEE, 1998. ","Lyons, Kamachi, Gyoba "
FaceScrub ,Images of public figures scrubbed from image searching. ,Name and m/f annotation. ,"107,818 ","Images, text ",Face recognition ,2014,"Ng, Hong-Wei, and Stefan Winkler. ""A data-driven approach to cleaning large face datasets."" Image Processing (ICIP), 2014 IEEE International Conference on. IEEE, 2014.year=2015 ",H. Ng et al. 
BioID Face Database ,Images of faces with eye positions marked. ,Manually set eye positions. ,1521 ,"Images, text ",Face recognition ,2001,"Jesorsky, Oliver, Klaus J. Kirchberg, and Robert W. Frischholz. ""Robust face detection using the hausdorff distance."" Audio-and video-based biometric person authentication. Springer Berlin Heidelberg, 2001.Huang, Gary B., et al. Labeled faces in the wild: A database for studying face recognition in unconstrained environments. Vol. 1. No. 2. Technical Report 07-49, University of Massachusetts, Amherst, 2007. ",BioID 
Skin Segmentation Dataset ,Randomly sampled color values from face images. ,"B, G, R, values extracted. ","245,057 ",Text ,"Segmentation, classification ",2012,"Bhatt, Rajen B., et al. ""Efficient skin region segmentation using low complexity fuzzy decision tree model."" India Conference (INDICON), 2009 Annual IEEE. IEEE, 2009. pmc = 4287461  ",R. Bhatt. 
Bosphorus ,3D Face image database. ,"34 action units and 6 expressions labeled, 24 facial landmarks labeled. ",4652 ," Images, text  ","Face recognition, classification ",2008,"Maes, Chris, et al. ""Feature detection on 3D face surfaces for pose normalisation and recognition."" Biometrics: Theory Applications and Systems (BTAS), 2010 Fourth IEEE International Conference on. IEEE, 2010.Savran, Arman, et al. ""Bosphorus database for 3D face analysis."" Biometrics and Identity Management. Springer Berlin Heidelberg, 2008. 47–56. ",A Savran et al. 
UOY 3D-Face ,"neutral face, 5 expressions: anger, happiness, sadness, eyes closed, eyebrows raised. ",labeling. ,5250 ," Images, text  ","Face recognition, classification ",2004,"Heseltine, Thomas, Nick Pears, and Jim Austin. ""Three-dimensional face recognition: An eigensurface approach."" Image Processing, 2004. ICIP'04. 2004 International Conference on. Vol. 2. IEEE, 2004. citeseerx = 10.1.1.461.9710  ",University of York 
CASIA 3D Face Database ,"Expressions: Anger, smile, laugh, surprise, closed eyes. ",None. ,4624 ," Images, text  ","Face recognition, classification ",2007," s2cid = 15263913 Zhong, Cheng, Zhenan Sun, and Tieniu Tan. ""Robust 3D face recognition using learned visual codebook."" Computer Vision and Pattern Recognition, 2007. CVPR'07. IEEE Conference on. IEEE, 2007. ","Institute of Automation, Chinese Academy of Sciences "
CASIA NIR ,Expressions: Anger Disgust Fear Happiness Sadness Surprise ,None. ,480 ,Annotated Visible Spectrum and Near Infrared Video captures at 25 frames per second ,"Face recognition, classification ",2011, doi = 10.1016/j.imavis.2011.07.002  ,"Zhao, G. et al. "
