col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45
Norma Fisher,Pike Place,"753 Padilla Circles
New Jeffrey, FL 71671",,"5,17","5,17","5,17","5,17","5,17",,,3.0,,40,"17,2","17,2","17,2","17,2","17,2","17,2","17,2",3.0,,5.0,,,,,,,,,1,1.0,1,,47.6089786609,-122.342130592,540,47.608829,-122.3415422,231.68,37VVehvFPfAV5MvgUpNIrw,1,Norma Fisher,G2
Jorge Sullivan,Republic,"8714 Mann Plaza
Lisaside, PA 72227",,"6.5,18","6.5,18","6.5,18","6.5,18","6.5,18",,,3.0,,28,"18,22","18,22","18,22","18,22","18,2","10,2","10,22",3.0,,9.0,,,,,,,,,1,1.0,1,,47.6023813445,-122.3330757701,435,47.6021409,-122.3329161,304.36,XBHHRr8q5wMLGOU52Mjo1w,1,Jorge Sullivan,G17
Elizabeth Woods,Central,"96593 White View Apt. 094
Jonesberg, FL 05565",,"6,15","6,15","6,15","6,15","6,15",,,3.0,,25,"15,21","15,21","15,21","15,21","15,24","10,24","10,22",3.0,,6.0,,,,,,,,,1,1.0,1,,47.6028956588,-122.3351944575,710,47.6030217,-122.3347008,211.62,2XjO_W_OAYaGNyUUc5_rDQ,1,Elizabeth Woods,G16
Susan Wagner,IPM,"848 Melissa Springs Suite 947
Kellerstad, MD 80819",,"6,19","6,19","6,19","6,19","6,19","8,19","8,18",3.0,,24,,,,,,,,,,,,,,,,,,,1,,1,,47.5976433113,-122.3330640399,75,47.5976157,-122.3332381,75.02,8I9SG4AsExR_0QiCuOibJw,1,Susan Wagner,G15
Peter Montgomery,Ampco,"30413 Norton Isle Suite 012
North Lisa, ND 79428",,"5,17","5,17","5,17","5,17","5,17",,,5.0,,27,"17,2","17,2","17,2","17,2","17,2","5,2","5,2",5.0,,11.0,,,,,,,,,1,1.0,1,1.0,47.6132167845,-122.3355515955,1130,47.6129611,-122.3361289,106.28,9lV7voFldlBpBibYwcSSow,1,Peter Montgomery,G4
Theodore Mcgrath,Standard,"39916 Mitchell Crescent
New Andrewburgh, DE 63315",,"6,17","6,17","6,17","6,17","6,17",,,9.0,,35,"17,24","17,24","17,24","17,24","17,24","7,24",,9.0,,8.0,,,,,,,,,1,,1,1.0,47.6086916118,-122.3358846181,601,47.6090431,-122.336196,168.67,wIorWrju1etsdV0Ov5qNOw,1,Theodore Mcgrath,G7
Stephanie Collins,Republic,"086 Mary Cliff
North Deborah, NE 24135",,"0,16","0,16","0,16","0,16","0,16",,,5.0,,25,"16,24","16,24","16,24","16,24","16,24","0,24","0,24",5.0,,7.0,,,,,,,,,1,1.0,1,,47.6110069352,-122.3394660443,754,47.6113986,-122.3398928,159.98,nEwOiPjn2uHgbiDCiiZbiw,1,Stephanie Collins,G3
Stephanie Sutton,WAC,"91634 Strong Mountains Apt. 302
West Alyssa, PA 58475",,"0,24","0,24","0,24","0,24","0,24","5,17","5,17",8.25,,34,,,,,,"17,5","15,5",4.75,,7.0,,,,,,,,,1,1.0,1,1.0,47.6102248642,-122.3340408694,170,47.6104124,-122.3337996,276.78,IYqc-FGY_eMN1_Ci5ec2dg,1,Stephanie Sutton,G11
Brian Hamilton,WSCC,"6984 Price Shoals
Erictown, WA 10865",,"5.5,17","5.5,17","5.5,17","5.5,17","5.5,17","5.5,17","5.5,17",5.0,,26,"17,24","17,24","17,24","17,24","17,24","17,24","17,24",5.0,,6.0,,,,,,,,,1,,1,,47.6119476598,-122.3316714831,805,47.6109862,-122.3312058,30.78,mVFWtLwM02GdKDc9MvfL9Q,1,Brian Hamilton,G9
Susan Levy,Republic,"423 Bell Heights
Brittanyberg, ME 51359",,"6,17","6,17","6,17","6,17","6,17","6,17","6,17",5.0,,21,"17,24","17,24","17,24","17,24","17,24","17,24","17,24",5.0,,7.0,,,,,,,,,1,1.0,1,,47.6123365901,-122.3489652567,1511,47.6130383,-122.3508684,118.11,XDn0eUKcpXz-UPNPr0qJew,1,Susan Levy,G13
Sean Green,Republic,"93523 Dana Lane
Johnsonshire, WI 87296",,"6,18","6,18","6,18","6,18","6,18","9,20","9,18",3.0,,18,,,,,,,,,,,,,,,,,,,1,1.0,1,,47.6079132661,-122.341397241,147,47.6075928,-122.3415866,71.0,Tg568TZ50ck--wY0WgDXAQ,1,Sean Green,G14
Kimberly Smith,Impark,"1427 Odonnell Rapids
North Troyport, NH 07035",,"6.5,19","6.5,19","6.5,19","6.5,19","6.5,19","10,23","10,18",6.0,,25,,,,,,,,,,,,,,,,,,,1,,1,,47.6044871364,-122.3380312197,194,47.6040547,-122.3377376,305.78,1J_0kbrwP8gpeKSC4vORkw,1,Kimberly Smith,G19
Jennifer Summers,Watermark,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",,"6.5,18","6.5,18","6.5,18","6.5,18","6.5,18",,,3.0,,28,"18,20","18,20","18,20","18,20","18,20","11,20","11,18",3.0,,5.0,,,,,,,,,1,,1,,47.6054703085,-122.3380619771,121,47.6052151,-122.3382495,21.78,eAyXLY1WB-ll4aAzJbo_ow,1,Jennifer Summers,G18
