col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53
6f867592-42fa-44c4-97be-e3159878701e,,default,COMPLETE,2014-05-26T05:49:39.501000000,anonymous,,22,a1,,a0,18716,,a1,,,2014-05-22T19:00:00.000000000,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,1,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
80d63acf-d3ac-4bd8-9fcf-fd2e027a61dc,,default,COMPLETE,2014-05-26T05:49:39.569000000,anonymous,,18,a2,,a1,91817,,,,,2014-05-22T19:00:00.000000001,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,2,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
fc3a471f-ca52-46e8-aea6-17fe987fa549,,default,COMPLETE,2014-05-26T05:49:39.623000000,anonymous,,19,a3,,a2,71196,,,,,2014-05-22T19:00:00.000000002,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,3,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
d6d6a730-42f5-4df7-9e06-96517a4ec8cd,,default,COMPLETE,2014-05-26T05:49:39.686000000,anonymous,,20,a4,,a3,44176,,,,,2014-05-22T19:00:00.000000003,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,4,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
b95c26eb-9ce9-4a3b-a2e1-52f051714cef,,default,COMPLETE,2014-05-26T05:49:39.754000000,anonymous,,21,a5,,a4,91078,,,,,2014-05-22T19:00:00.000000004,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,5,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
82ba04e7-5d9d-4f16-bca6-d1b65f6817d5,,default,COMPLETE,2014-05-26T05:49:39.819000000,anonymous,,23,a6,,a5,69189,,,,,2014-05-22T19:00:00.000000005,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,6,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
7dc9e42e-cd14-4840-9203-6527234143c0,,default,COMPLETE,2014-05-26T05:49:39.887000000,anonymous,,25,a7,,a6,12197,,,,,2014-05-22T19:00:00.000000006,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,7,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
235bd20e-a703-4d44-a827-fd56a1929f27,,default,COMPLETE,2014-05-26T05:49:39.946000000,anonymous,,20,a8,,a7,28876,,,,,2014-05-22T19:00:00.000000007,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,8,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
1e480c8b-21e3-4840-95db-963d5a018196,,default,COMPLETE,2014-05-26T05:49:40.021000000,anonymous,,14,a9,,a8,17698,,,,,2014-05-22T19:00:00.000000008,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,9,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
25f52674-6f0e-4165-902f-7b0959e93fee,,default,COMPLETE,2014-05-26T05:49:40.092000000,anonymous,,19,a10,,a9,44778,,,,,2014-05-22T19:00:00.000000009,,,a2,,"[""a0"",""a2""]",,a1,,,a1,,,,10,SS,1,2,,,,,,,"[""a1""]",,a7,,,,a1,,,,,,,
