col0,col1,col2,col3,col4,col5,col6,col7,col8
370630001011,290822.0,817787.0,10064.0,595464.12,252675.0,0.0,111874.0,0.0
370630001012,15000.0,0.0,0.0,0.0,0.0,1157418.38,693428.0,446714.0
370630001021,0.0,0.0,0.0,28280.0,27200.0,0.0,0.0,0.0
370630001022,490807.0,6489743.0,786066.0,261442.0,701734.0,2737473.0,4307106.0,885600.92
370630002001,0.0,0.0,9000.0,874800.0,250415.0,27658.96,0.0,513059.0
370630002002,355050.0,142868.0,194823.0,300.0,94400.0,599821.0,902388.0,61220.0
370630002003,0.0,0.0,0.0,19480.0,0.0,0.0,0.0,0.0
370630003011,553339.44,196090.14,561764.0,102651.4,1100016.0,117435.97,0.0,42468.0
370630003012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630003013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0
370630003021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630003022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630003023,0.0,0.0,61141.0,125000.0,0.0,0.0,182592.0,0.0
370630004011,469000.0,0.0,247774.0,0.0,14526.0,0.0,7000.0,0.0
370630004012,8900.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0
370630004013,444830.0,0.0,1380855.0,261382.0,0.0,1218309.0,510196.0,0.0
370630004021,1858193.0,7013498.0,2543178.0,1766116.0,2780934.0,2089332.48,2018466.77,4364814.0
370630005001,270660.0,33000.0,131400.0,1227823.0,41395180.0,6000.0,0.0,0.0
370630005002,482070.0,734388.0,16777.0,529083.0,363994.0,116161.0,68927.0,99777.0
370630005003,42955.0,5646806.0,597359.0,1244378.0,300000.0,29026.0,55465.0,0.0
370630005004,161595.0,0.0,0.0,69368.0,27600.0,0.0,0.0,44210.0
370630006001,150500.0,0.0,16000.0,25486.0,2340408.0,168829.0,389795.0,497209.0
370630006002,2451.0,105245.0,1000.0,429363.0,273966.0,277581.0,1095561.74,220650.0
370630006003,0.0,0.0,0.0,0.0,0.0,1612936.0,0.0,0.0
370630007001,2488316.0,1953353.78,1331710.0,1387422.56,1234319.04,3699958.0,8192888.0,5649502.0
370630007002,0.0,0.0,0.0,57753.0,50000.0,53500.0,0.0,0.0
370630007003,0.0,0.0,0.0,11500.0,153910.0,0.0,0.0,0.0
370630009001,859199.0,0.0,208691.0,41011.0,0.0,0.0,0.0,0.0
370630009002,0.0,0.0,0.0,498000.0,0.0,0.0,0.0,0.0
370630010011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630010012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630010013,1808.0,0.0,122452.0,298658.0,118931.85,642267.0,1310308.0,610500.0
370630010021,0.0,0.0,0.0,4700.0,118608.0,0.0,1985892.0,0.0
370630010022,287525.0,0.0,89808.0,0.0,0.0,100000.0,500000.0,956942.0
370630010023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36756.0
370630010024,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0
370630011001,875661.0,99424.0,4427.0,1063765.0,0.0,15900761.0,6050896.76,7057737.13
370630011002,2101069.38,184725.0,3000.0,803169.0,1553359.0,1900000.0,0.0,1688851.0
370630013011,0.0,0.0,0.0,0.0,0.0,1774200.0,8000.0,297976.0
370630013031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630013032,0.0,0.0,0.0,0.0,0.0,0.0,96876.0,0.0
370630013041,755659.0,0.0,26200.0,1241906.0,0.0,0.0,0.0,0.0
370630014001,0.0,0.0,0.0,0.0,0.0,631110.0,0.0,0.0
370630014002,139670.0,0.0,0.0,417102.0,104988.0,85653.0,25000.0,0.0
370630015011,99749121.0,63909186.65,40235395.77,84242906.31,24262338.0,121349367.25,175601630.0,52562770.0
370630015021,0.0,303722.0,252722.23,67620.0,385064.0,838318.46,4077200.0,8460259.0
370630015022,241599.0,0.0,250000.0,320408.0,0.0,249864.0,844878.0,0.0
370630015023,817360.0,248966.0,0.0,658201.93,62655.0,151772.66,0.0,573529.0
370630015024,18184.0,0.0,398583.0,44453.0,157525.0,0.0,705893.0,1664306.0
370630015031,186595.0,351610.0,5024122.0,86500.0,516784.0,0.0,0.0,0.0
370630016011,405365.0,0.0,0.0,158370.0,1823197.0,782017.0,364527.71,216714.0
370630016012,431862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630016013,0.0,0.0,0.0,0.0,0.0,0.0,1805290.0,0.0
370630016031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630016032,33827.0,2000.0,0.0,936217.58,0.0,79384.0,215146.5,1110000.0
370630016033,0.0,0.0,0.0,0.0,14151.0,0.0,0.0,0.0
370630016034,0.0,0.0,0.0,0.0,34942.0,0.0,0.0,0.0
370630016041,0.0,0.0,0.0,0.0,48823.0,0.0,0.0,54539.6
370630016042,0.0,0.0,0.0,0.0,399200.0,0.0,0.0,0.0
370630016043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
370630017051,1.0,0.0,0.0,110000.0,108600.0,2200000.0,0.0,1625000.0
370630017052,10114760.0,1263493.0,225858.0,724083.0,1200564.0,227899.0,636177.0,1891186.0
370630017053,279500.0,1971385.0,1112830.0,607901.0,0.0,180000.0,38150.0,2510453.0
370630017061,0.0,0.0,668000.0,0.0,0.0,0.0,0.0,0.0
370630017062,70682.0,0.0,0.0,0.0,0.0,0.0,0.0,304431.0
