col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31
0,00a138205m,Sheldon's Twentieth century letter writer: an up-to-date and accurate guide to correct modern letter writing,,Sheldon's 20th century letter writer|||Letter writer,"Sheldon, L. W.",,Philadelphia,D. McKay,,1901,c1901|||1901|||1901-01-01T00:00:00,,,monographic,eng,text,print,"v, 133 p. ; 20 cm.",,,Letter writing,,,,1138205,,,,,University of Pittsburgh,
1,00a268620m,Spencerian system of penmanship,,,"Spencer, Platt R. (Platt Rogers), 1800-1864",,New York|||Chicago,"Ivison, Blakeman, Taylor and Co.",,1873/1884,1873|||1884|||c1873-84|||ca. 1873-1884|||1873-01-01T00:00:00,,,monographic,eng,text,print,5 nos. in case. ; 24 cm.,,,Penmanship,,,,1268620,,,,,University of Pittsburgh,collection.120
2,00a269068m,Politics for young Americans,,,"Nordhoff, Charles, 1830-1901",,New York,Harper & Brothers,,1875,c1875|||1875|||1875-01-01T00:00:00,,,monographic,eng,text,print,200 p. ; 18 cm.,handbook,,"Politics and government|||Handbooks, manuals, etc",,United States|||n-us---,,1269068,,,,,University of Pittsburgh,
3,00a346950m,"Introduction to the science of government, and compend of constitutional and civil jurisprudence: comprehending a general view of the government of the United States, and of the government of the state of New York, together with the most important provisions in the constitutions of the several states",,,"Young, Andrew W. (Andrew White), 1802-1877",,"Warsaw, [N.Y.]",Published by the author,,1836,1836|||1836-01-01T00:00:00,,"2nd ed., improved.",monographic,eng,text,print,304 p. ; 18 cm.,,,Politics and government,,United States|||New York (State)|||n-us---|||n-us-ny,,1346950,,,,,University of Pittsburgh,
4,00a470015m,"geography for beginners, A",,,"Stewart, K. J. (Kensey Johns)",,"Richmond, Va",J.W. Randolph,,1864,1864|||1864-01-01T00:00:00,,,monographic,eng,text,print,"viii, 223 p. : ill., maps ; 18 cm.",,,Geography x Textbooks,,,,1470015,,,,,University of Pittsburgh,
5,00a472273m,Barnes' national system of penmanship,National system of penmanship,,,,New York|||Cincinnati|||Chicago,American Book Co.,,1886,c1886-|||1886|||1886-01-01T00:00:00,,,monographic,eng,text,print,v. ; 18 x 22 cm.,,,Penmanship,,,,1472273,,,,,University of Pittsburgh,
6,00abf4892m,"Arithmetick, both in the theory and practice: made plain and easy in all the common and useful rules",,,"Hill, John, Gent",,London,"Printed for W. Strahan, [et. al]",,1772,1772|||1772-01-01T00:00:00,,"11th ed., accurately rev., corrected, and improved /",monographic,eng,text,print,"[4], 382, [102] p. ; 20 cm.",,,Arithmetic|||Early works to 1900|||Mathematics|||Early works to 1800,,,,300726,,,,,University of Pittsburgh,
7,00abg5800m,Intellectual arithmetic: upon the inductive method of instruction,First lessons in arithmetic. 1826,,"Colburn, Warren, 1793-1833",,Boston,William J. Reynolds & Co.,,1826,c1826|||1826|||1826-01-01T00:00:00,,,monographic,eng,text,print,"xii, 172 p. ; 16 cm.",,,Mental arithmetic,,,,311472,,,,,University of Pittsburgh,
8,00abg6308m,First book in arithmetic,,,"Goff, Milton B. (Milton Browning), 1831-1890",,Pittsburgh,A.H. English & Co.,,1876,c1876|||1876|||1876-01-01T00:00:00,,,monographic,eng,text,print,144 p. : ill. ; 18 cm.,Early works to 1900,,Arithmetic,,,,311976,,02027191 /REV.,,,University of Pittsburgh,
9,00abg6496m,"North American arithmetic: part first, containing elementary lessons, The",,,"Emerson, Frederick, 1788-1857",,"Windsor, Vt|||Boston",Simeon Ide|||Lincoln & Edmands,,1830/1829,"1830|||1829|||1830, c1829|||ca. 1830-1829|||1830-01-01T00:00:00",,,monographic,eng,text,print,48 p. : ill. ; 18 cm.,,,Arithmetic|||Early works to 1900,,,,312165,,,,,University of Pittsburgh,
10,00abg6599m,"normal mental arithmetic: a thorough and complete course by analysis and induction, The",,,"Brooks, Edward, 1831-1912",,Philadelphia,H. Cowperthwait & Co.,,1858,c1858|||1858|||1858-01-01T00:00:00,,,monographic,eng,text,print,156 p. ; 18 cm.,,,Mental arithmetic,,,,312266,,02025479,,,University of Pittsburgh,
11,00abg6731m,"common school arithmetic: prepared for the use of academies and common schools in the United States, The",,,"Davies, Charles, 1798-1876",,"Utica, N.Y",William Williams,,1833,1833|||1833-01-01T00:00:00,,,monographic,eng,text,print,270 p. ; 15 cm.,,,Arithmetic|||Early works to 1900,,,,312386,,,,,University of Pittsburgh,
12,00abh4625m,Progressive exercises in English composition,,,"Parker, Richard Green, 1798-1869",,Boston,Lincoln and Edmands,,1832,1832|||1832-01-01T00:00:00,,[1st ed.],monographic,eng,text,print,107 p. ; 19 cm.,,,English language|||Composition and exercises,,,,320174,,10033547,,,University of Pittsburgh,
