col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37
Brannon Miller,"Clukey, Elijian",1407069280,1,1,1,2,5,0,24.75,0,19,Production Technician I,MA,2134,1980-08-26,M ,Married,US Citizen,no,White,2016-07-06,,N/A - Has not started yet,Future Start,Production       ,12.0,Employee Referral,1.97,4,0,2019-02-28,0,2.65,38.51,15,4,0.615008221740647
Elijiah Gray,"Hunts, Julissa",1106026433,0,0,0,2,5,0,25.0,0,20,Production Technician II,MA,2021,1984-03-11,F,Single,US Citizen,no,White,2016-06-06,,N/A - Has not started yet,Future Start,Production       ,16.0,Vendor Referral,2.92,5,0,2019-01-18,0,2.62,34.86,14,2,0.468519601150428
Kelley Spirea,"Beak, Kimberly  ",1303054329,1,1,0,2,5,0,27.0,0,20,Production Technician II,MA,2145,2066-04-17,F,Married,US Citizen,no,White,2016-07-21,,N/A - Has not started yet,Future Start,Production       ,18.0,Employee Referral,2.7,3,0,2019-01-14,0,2.48,52.74,16,2,0.520508494591038
Kelley Spirea,"Saar-Beckles, Melinda",1410070998,0,0,0,2,5,1,20.0,0,19,Production Technician I,MA,1801,2068-06-06,F,Single,US Citizen,no,Black or African American,2016-07-04,,N/A - Has not started yet,Future Start,Production       ,18.0,Diversity Job Fair,1.12,4,0,2019-02-18,0,2.63,50.7,16,2,0.520508494591038
Lynn Daneault,"McKinzie, Jac",1209049326,1,1,1,2,6,0,55.0,0,3,Area Sales Manager,TX,78789,1984-07-01,M ,Married,US Citizen,no,Two or more races,2016-07-06,,N/A - Has not started yet,Future Start,Sales,21.0,Website Banner Ads,2.91,4,0,2019-01-29,0,2.57,34.58,13,2,0.670179387673034
Michael Albert,"Crimmings,   Jean",1311063172,0,0,0,2,5,0,19.75,0,19,Production Technician I,MA,1821,1987-04-10,F,Single,US Citizen,no,White,2016-07-06,,N/A - Has not started yet,Future Start,Production       ,22.0,Newspager/Magazine,4.12,5,0,2019-01-28,0,2.56,31.8,13,2,0.671107544920696
Michael Albert,"Von Massenbach, Anna",1106026474,0,0,0,2,5,0,20.0,0,19,Production Technician I,MA,2124,1985-04-06,F,Single,US Citizen,no,White,2015-07-05,,N/A - Has not started yet,Future Start,Production       ,22.0,Newspager/Magazine,3.21,3,0,2019-01-29,0,3.57,33.82,13,2,0.671107544920696
Peter Monroe,"Semizoglou, Jeremiah  ",904013591,1,1,1,2,3,0,53.8,0,28,Sr. Network Engineer,MA,1545,1983-02-09,M ,Married,US Citizen,no,Asian,2016-06-30,,N/A - Has not started yet,Future Start,IT/IS,7.0,On-campus Recruiting,3.27,4,5,2019-01-14,0,2.54,35.93,13,2,0.479300908153716
Simon Roup,"Carr, Claudia  N",1010022337,0,0,0,2,3,0,61.3,0,27,Sr. DBA,MA,1886,1986-06-06,F,Single,US Citizen,no,Black or African American,2016-06-30,,N/A - Has not started yet,Future Start,IT/IS,4.0,Vendor Referral,5.0,5,6,2019-02-18,0,2.64,32.7,9,2,0.551193769585004
Webster Butler,"Hutter, Rosalie",1103024924,0,3,0,2,5,0,28.0,0,20,Production Technician II,MA,2351,1992-05-07,F,Separated,US Citizen,no,White,2015-06-05,,N/A - Has not started yet,Future Start,Production       ,,Other,2.63,3,0,2019-02-14,0,3.7,26.77,8,2,0.478248643575348
Webster Butler,"Manchester, Robyn",1110029623,1,1,0,2,5,0,23.0,0,20,Production Technician II,MA,2324,1976-08-25,F,Married,US Citizen,no,White,2016-05-11,,N/A - Has not started yet,Future Start,Production       ,,Vendor Referral,5.0,3,0,2019-01-21,0,2.7,42.41,8,2,0.478248643575348
