col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15
90,1,2.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,,2.0,2006-01-22 00:00:00,2.0
91,3,2.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,,2.0,2006-01-22 00:00:00,2.0
92,2,2.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,,2.0,2006-01-22 00:00:00,2.0
93,5,2.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,,2.0,2006-01-22 00:00:00,2.0
94,6,2.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,,2.0,2006-01-22 00:00:00,2.0
95,4,2.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,,2.0,2006-01-22 00:00:00,2.0
96,1,5.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
97,2,7.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
98,2,4.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
99,1,3.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
100,2,9.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
101,1,2.0,2006-01-14 00:00:00,2006-01-22 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
102,1,1.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
103,2,1.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
104,2,1.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
105,5,7.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,Check,Purchase generated based on Order ,,,
106,6,7.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
107,1,6.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
108,2,4.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
109,2,4.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
110,1,3.0,2006-03-24 00:00:00,2006-03-24 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
111,1,2.0,2006-03-31 00:00:00,2006-03-31 00:00:00,2,,0.0,0.0,,0.0,,Purchase generated based on Order ,,,
140,6,,2006-04-25 00:00:00,2006-04-25 16:40:51,2,,0.0,0.0,,0.0,,,2.0,2006-04-25 16:41:33,2.0
141,8,,2006-04-25 00:00:00,2006-04-25 17:10:35,2,,0.0,0.0,,0.0,,,2.0,2006-04-25 17:10:55,2.0
142,8,,2006-04-25 00:00:00,2006-04-25 17:18:29,2,,0.0,0.0,,0.0,Check,,2.0,2006-04-25 17:18:51,2.0
146,2,2.0,2006-04-26 18:26:37,2006-04-26 18:26:37,1,,0.0,0.0,,0.0,,,,,2.0
147,7,2.0,2006-04-26 18:33:28,2006-04-26 18:33:28,1,,0.0,0.0,,0.0,,,,,2.0
148,5,2.0,2006-04-26 18:33:52,2006-04-26 18:33:52,1,,0.0,0.0,,0.0,,,,,2.0
