col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42
X-1,E-1,C-1,2020-01-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-111-510-1824x2733,Rachel Kennedy PhD,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-2,E-2,C-1,2020-01-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-359-514-9871x11634,Deborah Kim,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-3,E-3,C-1,2020-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.637.9760x25894,Sean Williams,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-4,E-4,C-1,2020-01-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-130-429-9423x54017,Robert Lynch,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-5,E-5,C-1,2020-01-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001.803.2905x20195,Jesus Chandler,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-6,E-6,C-2,2020-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828-853-0047,Elaine Mcconnell,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-7,E-7,C-2,2020-01-04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006.856.2138x3728,David Ruiz,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-8,E-8,C-2,2020-01-06,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172-092-3443,Tammy Collins,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-9,E-9,C-2,2020-01-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.216.0873x0061,Tristan Carter,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-10,E-10,C-1,2020-01-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-978-597-5530,Steven Collins,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-11,E-11,C-1,2020-01-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-035-538-7552x29295,Crystal Morales,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-12,E-12,C-1,2020-01-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.555.0006,Brian Le,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
X-13,E-13, C-1,2020-01-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001-868-823-3431,Marco Miller,,,2020-01-01 00:00:00,2020-01-01 00:00:00,user,,COMBINE-TEST
