col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
2,STATISTIK AUSTRIA,http://statistik.at/,0.0,0.0,1.0,,0,6.0,6.0,1.0,0.117445399873599,0.882554600126401
2,STATISTIK AUSTRIA,http://www.statistik.at/web_de/statistiken/index.html,1.0,0.0,0.0,,0,5.0,4.95,1.0,0.2771613752552321,0.7228386247447679
2,STATISTIK AUSTRIA,http://www.statistik-austria.at/,5.0,0.0,1.0,,0,6.0,5.7,1.0,0.1525826602266273,0.8474173397733726
3,STATISTIK AUSTRIA,http://statistik.at/,0.0,0.0,1.0,,0,5.0,5.0,1.0,0.2671796197748038,0.7328203802251961
3,STATISTIK AUSTRIA,http://www.statistik-austria.at/,5.0,0.0,1.0,,0,5.0,4.75,1.0,0.3192952260459576,0.6807047739540424
4,STATISTIK AUSTRIA,http://statistik.at/,0.0,0.0,1.0,,0,5.0,5.0,1.0,0.2671796197748038,0.7328203802251961
4,STATISTIK AUSTRIA,http://www.statistik-austria.at/,5.0,0.0,1.0,,0,5.0,4.75,1.0,0.3192952260459576,0.6807047739540424
5,STATISTIK AUSTRIA,http://statistik.at/,0.0,0.0,1.0,,0,4.0,4.0,1.0,0.4997220488149978,0.5002779511850022
23,Statistics Belgium,https://statbel.fgov.be/en,0.0,0.0,1.0,,0,5.0,5.0,1.0,0.2671796197748038,0.7328203802251961
33,Statistics Greenland,https://www.stat.gl/default.asp?lang=en,0.0,0.0,0.0,,0,4.0,4.0,1.0,0.2671796197748038,0.7328203802251961
36,Hellenic Statistical Authority,https://www.wikiwand.com/en/Hellenic_Statistical_Authority,9.0,0.0,0.0,,0,1.0,0.91,1.0,0.2671796197748038,0.7328203802251961
39,Statistics Denmark,https://WikiMili.com/en/Statistics_Denmark,4.0,0.0,0.0,,0,2.0,1.92,1.0,0.4997220488149978,0.5002779511850022
39,Statistics Denmark,https://www.worldometers.info/world-population/denmark-population/,9.0,0.0,0.0,,0,0.0,0.0,1.0,0.0463217486761332,0.9536782513238669
42,Statistics Estonia,https://www.stat.ee/en,0.0,0.0,1.0,,0,4.0,4.0,1.0,0.4997220488149978,0.5002779511850022
45,Central Statistics Office,https://cso.gov.tt/,3.0,0.0,1.0,,0,1.0,0.97,1.0,0.2671796197748038,0.7328203802251961
49,Statistics Iceland,https://www.statista.com/topics/3079/iceland/,3.0,0.0,0.0,,0,0.0,0.0,1.0,0.0463217486761332,0.9536782513238669
50,Statistics Iceland,https://www.statista.com/topics/3079/iceland/,3.0,0.0,0.0,,0,0.0,0.0,1.0,0.117445399873599,0.882554600126401
62,Statistical Service,https://statsghana.gov.gh/,0.0,0.0,1.0,,0,2.0,2.0,1.0,0.2671796197748038,0.7328203802251961
69,Central Statistical Bureau,https://www.csb.gov.kw/Default_EN,2.0,0.0,0.0,,0,1.0,0.98,1.0,0.117445399873599,0.882554600126401
69,Central Statistical Bureau,https://www.cbs.cw/,6.0,0.0,1.0,,0,1.0,0.94,1.0,0.1238598856418525,0.8761401143581474
70,Central Statistical Bureau,https://www.csb.gov.kw/Default_EN,2.0,0.0,0.0,,0,1.0,0.98,1.0,0.117445399873599,0.882554600126401
