col0,col1,col2,col3,col4,col5,col6
p_a0dc2636428b2546,Android Engineer,Quidd,"New York, NY",We recently closed our Series A funding round led by Sequoia Capital. Comfortable working in a source controlled environment with a team of developers across...,https://www.indeed.com/rc/clk?jk=a0dc2636428b2546&fccid=f93b0fee8e7ea7a3&vjs=3,
p_33f1c7cdb8113eef,Data Engineer,pulseData,"New York, NY","Minimum of 3 years experience as an engineer, developer, programmer in a production software environment. Docker/Kubernetes knowledge a strong plus....",https://www.indeed.com/rc/clk?jk=33f1c7cdb8113eef&fccid=2c23f29fcd5c78da&vjs=3,
p_2bc081cf12508d95,Interdisciplinary Engineer,Defense,"Garden City, NY","Engineers, All Other. Performance of software oversight of a contractor's methodologies, standards and specifications....",https://www.indeed.com/rc/clk?jk=2bc081cf12508d95&fccid=ca509b164585637a&vjs=3,https://www.indeed.com/cmp/United-States-Department-of-Defense
p_ed7285694003c0c3,Full Stack Software Engineer,Associates,"New York, NY",One of the most consistently talked about tech startups in NYC is looking to hire multiple full-stack software engineers after a large series A funding round....,https://www.indeed.com/rc/clk?jk=ed7285694003c0c3&fccid=a6920e0a635e5c4e&vjs=3,https://www.indeed.com/cmp/Workbridge-Associates
p_7b096f08bfa4df7c,Sales Development Representative,Dataiku,"New York, NY","We raised our Series A in late 2016 with FirstMark, a preeminent New York VC fund known for their dominance in the data science space....",https://www.indeed.com/rc/clk?jk=7b096f08bfa4df7c&fccid=4640437a3109c91f&vjs=3,
p_a94996a7ca5333db,Senior Network Engineer,America,"Paramus, NJ",Knowledge of firewalls - Cisco ASA 5500 Series (required) - Checkpoint UTM-1 Edge Series (a plus). Have a thorough knowledge of management policies....,https://www.indeed.com/rc/clk?jk=a94996a7ca5333db&fccid=35b872857d6e67d7&vjs=3,https://www.indeed.com/cmp/Suez-North-America
p_10c6da7d4544df7a,Network Engineer,Ogden,"Paramus, NJ","Knowledge of firewalls - Cisco ASA 5500 Series (required) - Checkpoint UTM-1 Edge Series (a plus). Oversees administration, monitoring and troubleshooting of...",https://www.indeed.com/rc/clk?jk=10c6da7d4544df7a&fccid=9c692bd8d7645987&vjs=3,https://www.indeed.com/cmp/Spencer-Ogden
p_ef13986b02bd3d74,Product - Software Engineer,SeedInvest,"Manhattan, NY","SeedInvest is seeking a software engineer to join our Product team in Manhattan, New York. 3+ years of software development experience....",https://www.indeed.com/rc/clk?jk=ef13986b02bd3d74&fccid=cc399cba47ef9a2a&vjs=3,
p_c3f5915cbd97b327,Lead Full Stack Software Engineer,CareDox,"New York, NY","Have an opinion about what software and tools we use, and work directly with the CTO and lead engineers on technology roadmap planning....",https://www.indeed.com/rc/clk?jk=c3f5915cbd97b327&fccid=d71042643ccc7c4f&vjs=3,
p_9e82a43d6f5e66eb,Technical Support Engineer,Dataiku,"New York, NY","As an Technical support engineer, you would:. The Technical support engineer is responsible for helping Dataiku’s customers solve their open questions....",https://www.indeed.com/rc/clk?jk=9e82a43d6f5e66eb&fccid=4640437a3109c91f&vjs=3,
p_0f32da5be8a80803,"Backend Engineer, Mobile Team",Clarifai,"New York, NY","We are looking for backend engineers who love:. Two years, or more, of professional software engineering experience....",https://www.indeed.com/rc/clk?jk=0f32da5be8a80803&fccid=0bfd6b75d98e7714&vjs=3,
p_ddf95ad6b0db65d2,Senior Backend Engineer,Clarifai,"New York, NY","Clarifai raised a $30 million Series B in 2016 led by Menlo Ventures, Union Square Ventures, and Lux Capital....",https://www.indeed.com/rc/clk?jk=ddf95ad6b0db65d2&fccid=0bfd6b75d98e7714&vjs=3,
p_d7530a26786c23a6,Senior Technical Services Engineer,Data,"New York, NY","Series B funded and grew 6x in 2017! We are hiring a Senior Technical Services Engineer. Waterline Data software automatically discovers, organizes, and...",https://www.indeed.com/rc/clk?jk=d7530a26786c23a6&fccid=5f5b86b2e32f2e90&vjs=3,
p_276a1825fce69498,Implementation Manager,Dataiku,"New York, NY","We raised our Series B in September 2017 with Battery Ventures, a preeminent New York VC fund known for their dominance in the data science space....",https://www.indeed.com/rc/clk?jk=276a1825fce69498&fccid=4640437a3109c91f&vjs=3,
p_14e1928497e7ac06,Junior Marketing Content Manager (New York or London),Dataiku,"New York, NY","We raised our Series B in September 2017 with Battery Ventures, a top New York VC fund known for their dominance in the data science space....",https://www.indeed.com/rc/clk?jk=14e1928497e7ac06&fccid=4640437a3109c91f&vjs=3,
p_7b096f08bfa4df7c,Sales Development Representative,Dataiku,"New York, NY","In September 2017, we raised a $28M Series B led by Battery Ventures to push our products to new heights and deploy internationally....",https://www.indeed.com/rc/clk?jk=7b096f08bfa4df7c&fccid=4640437a3109c91f&vjs=3,
p_b7fbf294aaff81ad,"Director, Talent Acquisition",Paxos,"New York, NY","We are at an exciting growth stage as a well-funded, Post Series B tech company. Strong grasp of nuances in technical talent (Software Engineers, Product...",https://www.indeed.com/rc/clk?jk=b7fbf294aaff81ad&fccid=381ca8ebf18902ba&vjs=3,
