col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33
13184291,11885,1,2008,2001,P,P.24,P.24.0,A,C,B,A,A,D,C,B,A,A,A,B,5,0.2581253,1.7775195,-0.0134951,1.6694676,0.3309377,0.4306477,-0.8861981,3.4619823,N,-0.2315299,-0.2661168,2.7154899,-0.2514189
13184292,11885,1,2009,2001,P,P.24,P.24.0,A,C,B,A,A,D,C,B,A,B,A,D,5,0.2581253,1.7775195,-0.0134951,1.6694676,0.3309377,0.4306477,-0.8861981,3.4619823,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184293,11887,1,2008,2003,Y,Y.29,Y.29.0,B,C,A,A,A,D,C,B,B,B,A,C,4,-0.1195186,-0.1245062,0.2179083,-0.1910394,0.5271934,-0.2314083,-0.6650211,-0.1316009,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184294,11887,1,2009,2003,Y,Y.29,Y.29.0,B,C,A,A,A,D,C,B,B,A,A,B,4,-0.1195186,-0.1245062,0.2179083,-0.1910394,0.5271934,-0.2314083,-0.6650211,-0.1316009,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184295,11888,1,2008,2006,AU,AU.14,AU.14.1,B,A,B,A,A,B,C,A,B,B,A,C,2,-0.1436235,-0.2974176,-0.3837404,-0.2756079,0.0692634,-0.6852558,-0.5912954,-0.163872,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184296,11888,1,2009,2006,AU,AU.14,AU.14.1,B,A,B,A,A,B,C,A,B,B,A,D,2,-0.1436235,-0.2974176,-0.3837404,-0.2756079,0.0692634,-0.6852558,-0.5912954,-0.163872,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184297,11890,1,2008,2005,P,P.18,P.18.0,A,C,B,A,A,B,C,B,A,A,A,B,4,-0.5534074,0.4806838,-0.9622487,0.4855086,-0.8644382,-0.3530581,-0.8861981,0.9240484,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184298,11890,5,2009,2000,K,K.7,K.7.1,B,A,A,A,A,B,C,C,B,A,A,E,2,-0.5453724,-0.9544811,-0.4531614,-0.9352422,-0.1567281,-0.688765,-0.8984857,-0.2978793,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184299,11894,2,2009,2004,X,X.45,X.45.4,B,C,A,A,A,D,C,A,B,A,B,E,4,-0.2802182,-0.5567847,0.2179083,-0.6138819,0.3904091,-0.3284942,-0.8124724,-0.216928,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184300,11895,2,2009,2005,K,K.7,K.7.3,B,C,A,A,A,B,C,B,A,B,B,D,2,-0.3927078,-0.5222025,-0.3143194,-0.5293134,-0.1150981,-0.5600969,-0.542145,-0.3843003,N,2.0546834,-0.2661168,-0.2723372,-0.2514189
13184301,11895,3,2008,2005,K,K.7,K.7.3,B,C,A,A,A,B,C,B,A,C,C,B,2,-0.3927078,-0.5222025,-0.3143194,-0.5293134,-0.1150981,-0.5600969,-0.542145,-0.3843003,N,2.0546834,-0.2661168,-0.2723372,-0.2514189
13184302,11897,1,2008,2007,BW,BW.79,BW.79.2,E,C,F,A,A,C,A,B,B,A,A,B,2,-0.681967,-0.2109619,-0.6845648,-0.2756079,-0.8882267,-0.5051205,-0.0260652,-0.4926001,L,-0.2315299,-0.2661168,-0.2723372,3.068692
13184303,11898,3,2008,2005,X,X.20,X.20.1,B,C,B,A,A,D,C,A,B,A,C,C,4,0.0733209,0.2731901,0.5650133,0.1979757,0.5688235,0.0656981,-0.3209679,-0.0118148,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184304,11898,3,2009,2005,X,X.20,X.20.1,B,C,B,A,A,D,C,A,B,A,F,C,4,0.0733209,0.2731901,0.5650133,0.1979757,0.5688235,0.0656981,-0.3209679,-0.0118148,M,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184305,11903,2,2008,2001,Y,Y.10,Y.10.0,B,C,A,A,A,C,C,B,B,B,A,B,2,-0.6337572,-1.2484305,-0.9622487,-1.2904298,-0.608711,-1.0654117,-0.984499,-0.8995447,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184306,11904,1,2008,2007,BU,BU.36,BU.36.0,B,C,B,A,A,B,C,A,A,A,A,B,2,-0.2480782,-0.2628353,-0.1986177,-0.326349,-0.0318381,-0.3507187,-0.4561316,-0.4275109,E,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184307,11906,1,2008,2005,BF,BF.36,BF.36.7,B,C,A,A,A,C,C,A,B,A,A,B,2,-0.5534074,-0.9544811,-1.0779505,-1.002897,-0.9714867,-1.1765342,-0.82476,-0.7617086,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189
13184308,11907,1,2008,2008,AO,AO.21,AO.21.0,E,C,B,A,A,F,A,A,B,A,A,B,2,-1.2444154,-1.3521773,-1.3556345,-1.3919121,-2.0062897,-1.350821,-0.3332555,-0.8267978,O,-0.2315299,-0.2661168,-0.2723372,6.3888025
13184309,11907,1,2009,2008,AO,AO.21,AO.21.0,E,C,B,A,A,F,A,A,B,A,B,B,2,-1.2444154,-1.3521773,-1.3556345,-1.3919121,-2.0062897,-1.350821,-0.3332555,-0.8267978,O,-0.2315299,-0.2661168,-0.2723372,-0.2514189
