col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
No,T0002AA,Nathan,Pullman-Smith,01/01/1995,Steam,LT3,LT3-A-1-003,Yes,DELIUS_ID,RO_USER,Jessy,Smith,1,31/01/2018, 30/10/2018, 30/01/2019,25/01/20,25/01/20,,,,,,,,,No,2 years,"seed_data_pkg.create_prisoner('T0002AA/A1634AE', 'NATHAN', 'PULLMAN-SMITH', 'STEAM', 'PULLMAN-SMITH', '1995-01-01', 'LT3', 'LT3-A-1-3', '2018-01-31', '2018-10-30', '2019-01-30', 'DELIUS_ID', 'RO_USER', 'JESSY', 'SMITH');"
Yes,T0003AA,Max,Ferguson,11/01/1995,Hair Dryer,LT3,LT3-A-1-004,Yes,DELIUS_USER2,RO_USER2,Shelia,Handcock,2,26/01/2018, 14/08/2019, 26/12/2019,25/11/21,25/11/21,,26/11/21,25/12/21,29/08/19,10/01/20,25/12/21,25/12/21,,No,"3y 10m, 1m consec",
Yes,T0004AA,Abigail,Henderson,21/01/1995,Hendo,LT3,LT3-A-1-005,Yes,DELIUS_USER2,RO_USER2,Shelia,Handcock,3,26/01/2018,,30/07/2019,11/12/19,25/10/21,25/10/21,,,,,,,,No,3y 9m,"seed_data_pkg.create_prisoner('T0004AA', 'ABIGAIL', 'HENDERSON', 'HENDO', 'HENDERSON', '1995-01-21', 'LT3', 'LT3-A-1-5', '2018-01-26', null, '2019-07-30', 'DELIUS_USER2', 'RO_USER2', 'SHELIA', 'HANDCOCK');"
No,T0005AA,Joshua,Sharp,31/01/1995,The Knife,LT3,LT3-A-1-006,Yes,DELIUS_USER2,RO_USER2,Shelia,Handcock,1,26/01/2018,26/08/2019,10/01/2020,25/12/21,25/12/21,,26/12/21,01/01/22,02/09/19,14/01/20,01/01/22,01/01/22,,No,"3years 11m, 7d consec","seed_data_pkg.create_prisoner('T0005AA', 'JOSHUA', 'SHARP', 'THE KNIFE', 'SHARP', '1995-01-31', 'LT3', 'LT3-A-1-6', '2018-01-26', '2019-08-26', '2020-01-10', 'DELIUS_USER2', 'RO_USER2', 'SHELIA', 'HANDCOCK');"
Yes,T0006AA,Connor,Wilson,10/02/1995,Jimmy,LT3,LT3-A-1-007,Yes,DELIUS_USER2,RO_USER2,Shelia,Handcock,0,30/05/2018,15/07/2019,29/11/2019,29/05/21,29/05/21,,,,,,,,,No,3 years,"seed_data_pkg.create_prisoner('T0006AA', 'CONNOR', 'WILSON', 'JIMMY', 'WILSON', '1995-02-10', 'LT3', 'LT3-A-1-7', '0118-05-30', '2019-07-15', '2019-11-29', 'DELIUS_USER2', 'RO_USER2', 'SHELIA', 'HANDCOCK');"
Yes,T0007AA,Angela,Bailey,20/02/1995,Irish,LT3,LT3-A-1-008,Yes,DELIUS_USER2,RO_USER2,Shelia,Handcock,2,25/05/2018,15/10/2019,29/02/2020,24/11/21,14/11/21,,,,,,,,,No,3 years 6 months,"seed_data_pkg.create_prisoner('T0007AA', 'ANGELA', 'BAILEY', 'IRISH', 'BAILEY', '1995-02-20', 'LT3', 'LT3-A-1-8', '2018-05-25', '2019-10-15', '2020-02-29', 'DELIUS_USER2', 'RO_USER2', 'SHELIA', 'HANDCOCK');"
No,T0008AA,Stephanie,Powell,02/03/1995,Cozy,LT3,LT3-A-1-009,Yes,DELIUS_USER2,RO_USER2,Shelia,Handcock,0,30/03/2018,15/12/2018,29/03/2019,29/03/20,29/03/20,,03/04/18,02/10/18,15/12/18,29/03/19,29/03/20,29/03/20,,Yes,2 yearss and 6 months conc,"seed_data_pkg.create_prisoner('T0008AA', 'STEPHANIE', 'POWELL', 'COZY', 'POWELL', '1995-03-02', 'LT3', 'LT3-A-1-9', '2018-03-30', '2018-12-15', '2019-03-29', 'DELIUS_USER2', 'RO_USER2', 'SHELIA', 'HANDCOCK');"
No,T0009AA,Thomas,McDonald,12/03/1995,Nugget,LT3,LT3-A-1-010,Yes,DELIUS_USER3,RO_USER3,Trevor,Smith,0,26/04/2018,25/07/2018,25/10/2018,25/04/19,25/04/19,25/10/19,,,,,,,,Yes,12 months,"seed_data_pkg.create_prisoner('T0009AA', 'THOMAS', 'MCDONALD', 'NUGGET', 'MCDONALD', '1995-03-12', 'LT3', 'LT3-A-1-10', '2018-04-26', '2018-07-25', '2018-10-25', 'DELIUS_USER3', 'RO_USER3', 'TREVOR', 'SMITH');"
No,T0010AA,Edward,Fraser,22/03/1995,The razor,LT3,LT3-A-2-001,Yes,DELIUS_USER3,RO_USER3,Trevor,Smith,0,01/06/2018,,02/07/2018,30/08/18,30/08/18,02/07/19,03/06/18,24/07/18,29/06/18,13/07/18,24/07/18,24/07/19,13/07/19,Yes,12 weeks 3 weeks consec,"seed_data_pkg.create_prisoner('T0010AA', 'EDWARD', 'FRASER', 'THE RAZOR', 'FRASER', '1995-03-22', 'LT3', 'LT3-A-2-1', '2018-06-01', null, '2018-07-02', 'DELIUS_USER3', 'RO_USER3', 'TREVOR', 'SMITH');"
Yes,T0011AA,Gordon,Martin,01/04/1995,George,LT3,LT3-A-2-002,Yes,DELIUS_USER3,RO_USER3,Trevor,Smith,0,03/04/2018,15/11/2018,02/02/2019,02/01/20,,,,,,,,,,No,21 months,"seed_data_pkg.create_prisoner('T0011AA', 'GORDON', 'MARTIN', 'GEORGE', 'MARTIN', '1995-04-01', 'LT3', 'LT3-A-2-2', '2018-04-03', '2018-11-15', '2019-02-02', 'DELIUS_USER3', 'RO_USER3', 'TREVOR', 'SMITH');"
