col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51
86711,31,242,2182,1/13/2010,3/18/2011,0.0,,,0.0,,0.0,,9.0,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,3,,,,,,,,,,,152,1
61985,31,242,2182,1/2/2010,3/18/2011,540.0,1.0,1.0,0.0,,0.0,,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,2.0,0.0,,,,,3,,,,,,,,,,,152,3
62008,31,242,2182,1/2/2010,1/4/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,4.0,0.0,,,,,3,,,,,,,,,,,152,3
62009,31,242,2182,1/2/2010,1/4/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,4.0,0.0,,,,,3,,,,,,,,,,,152,3
62011,31,242,2182,1/2/2010,1/4/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,4.0,0.0,,,,,3,,,,,,,,,,,152,3
30486,31,242,2182,1/29/2010,1/29/2010,434.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,5.0,0.0,,,,,3,,,,,,,,,,,152,1
70999,31,242,2182,1/29/2010,1/29/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,1
71000,31,242,2182,1/29/2010,1/29/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,1
61985,31,242,2182,1/5/2010,3/29/2011,60.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,152,4
70999,31,242,2182,10/1/2010,3/18/2011,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,1
33636,31,242,2182,10/28/2009,3/29/2011,0.0,0.0,1.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,1.0,,0.0,,,1.0,1.0,,,,,,,,,4.0,0.0,,,,,3,,,,,,,,,,,152,1
86712,31,242,2182,10/31/2010,3/18/2011,400.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,0.0,,,,,3,,,,,,,,,,,152,3
64036,31,242,2182,10/8/2009,10/8/2009,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,1
64037,31,242,2182,10/8/2009,4/30/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,1
69239,31,242,2182,11/18/2008,4/26/2010,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,1.0,,0.0,,,0.0,,,,,,,,,,4.0,0.0,,,,,3,,,,,,,,,,,152,1
64036,31,242,2182,11/2/2009,4/30/2010,355.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,152,2
39976,31,242,2182,11/6/2009,4/26/2010,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,,1.0,1.0,,0.0,,,0.0,,,,,,,,,,4.0,0.0,,,,,3,,,,,,,,,,,152,1
75268,31,242,2182,12/20/2010,3/18/2011,1160.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,152,2
75268,31,242,2182,12/21/2009,4/26/2010,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,0.0,,1.0,1.0,,1.0,,,0.0,,,,,,,,,,4.0,0.0,,,,,3,,,,,,,,,,,152,1
30486,31,242,2182,2/17/2010,2/17/2010,434.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,152,2
30486,31,242,2182,2/17/2010,2/17/2010,434.0,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,5.0,0.0,,,,,3,,,,,,,,,,,152,3
70999,31,242,2182,2/17/2010,2/17/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,3
71000,31,242,2182,2/17/2010,2/17/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,3
84421,31,242,2182,2/19/2010,2/22/2010,0.0,0.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,1.0,5/14/2010,,,,3,,,,,,,,,,,152,1
84422,31,242,2182,2/19/2010,3/29/2011,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,1
84423,31,242,2182,2/19/2010,2/22/2010,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,,,,,,,,,,1.0,0.0,,,,,3,,,,,,,,,,,152,1
