col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40
ABB Ltd,,19000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,"76104 Marsh Crescent
Dennishaven, SD 85034",,,,,,,,,,,,,,,,,,
ABB VETCO,,0.0,,,, , ,,,,,,,,,,,,,,,"0003 Grant Lakes
Port Karafort, SD 60619",,,,,,,,,,,,,,,,,,
AGA Medical Corporatio,,2000000.0,,,, , ,,,,,,,,,,,,,,,"236 Smith Drive Suite 555
West Kimberlyton, KY 21978",,,,,,,,,,,,,,,,,,
AGCO,,1600000.0,,,, , ,,,,,,,,,,,,,,,"6824 Timothy Garden Apt. 428
West Richardmouth, MT 14742",,,,,,,,,,,,,,,,,,
Scheme,,0.0,,,,Participation in Scheme To , ,,,,,,,,,,,,,,,"5517 Holly Meadow Apt. 452
Lake Anne, SC 11894",,,,,,,,,,,,,,,,,,
Oil Executives Plead Guilty,,0.0,,,, , ,,,,,,,,,,,,,,,"30601 Hawkins Highway
Morashire, TX 28976",,,,,,,,,,,,,,,,,,
Aibel Group Ltd.,,4200000.0,,,, , ,,,,,,,,,,,,,,,"49263 Wilson View Apt. 873
South Raymondborough, AZ 28798",,,,,,,,,,,,,,,,,,
Airbus,,3900000000.0,,,,Foreign Bribery and ITAR , ,,,,,,,,,,,,,,,"76582 Vanessa Oval
New Richard, NE 68819",,,,,,,,,,,,,,,,,,
Telesystems Pjsc,,850000000.0,,,, , ,,,,,,,,,,,,,,,"7389 Alec Squares Suite 508
Port Jonathan, FL 50177",,,,,,,,,,,,,,,,,,
Akzo Nobel Acknowledges Improper,,0.0,,,, , ,,,,,,,,,,,,,,,"18013 Billy Bridge Suite 522
Schmitthaven, NC 66355",,,,,,,,,,,,,,,,,,
Three Subsidiaries Agree,,92000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,"891 Bullock Ford
Amandachester, NJ 51431",,,,,,,,,,,,,,,,,,
Alcoa World Alumi,,223000000.0,,,, , ,,,,,,,,,,,,,,,"02489 Cook Park
Sherriport, MT 50853",,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0.0,,,, , ,,,,,,,,,,,,,,,"23450 Timothy Divide
Wuland, UT 20341",,,,,,,,,,,,,,,,,,
Mozambique,,2000000000.0,,,,$2 Billion Fraud and , ,,,,,,,,,,,,,,,"0976 Williams Mountains Apt. 009
Lake Mario, OH 85565",,,,,,,,,,,,,,,,,,
Alliance One International Inc.,,0.0,,,,Related FCPA Matters Involving , ,,,,,,,,,,,,,,,"1097 Santos Springs Suite 264
New Michelleborough, WY 51884",,,,,,,,,,,,,,,,,,
Alstom,,772000000.0,,,, , ,,,,,,,,,,,,,,,"5100 Scott Burg
East Clayton, SC 66353",,,,,,,,,,,,,,,,,,
Venezuelan Money Laundering Scheme,,0.0,,,, , ,,,,,,,,,,,,,,,"412 Snow Manors Apt. 161
South Kimtown, NV 57004",,,,,,,,,,,,,,,,,,
Florida Businessm,,0.0,,,, , ,,,,,,,,,,,,,,,"5415 David Square
West Michaeltown, IN 48447",,,,,,,,,,,,,,,,,,
Employees of Military,,0.0,,,, , ,,,,,,,,,,,,,,,"03104 Norris Rapids
Port Donald, DE 62982",,,,,,,,,,,,,,,,,,
Former Regional Director of ITXC Corp,,0.0,,,, , ,,,,,,,,,,,,,,,"03557 Phillips Wells Suite 291
New Beverlyburgh, FL 16915",,,,,,,,,,,,,,,,,,
Venezuelan National Treasurer,,1000000000.0,,,, , ,,,,,,,,,,,,,,,"332 Watson Shore Apt. 290
Millerland, MT 39742",,,,,,,,,,,,,,,,,,
Florida,,0.0,,,,Participation in Foreign Bribery , ,,,,,,,,,,,,,,,"645 John Roads
Danahaven, MS 54060",,,,,,,,,,,,,,,,,,
Aon Corporatio,,1760000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,"3547 Stephanie Underpass Apt. 418
Port Jacqueline, HI 55774",,,,,,,,,,,,,,,,,,
Plead Guilty,,0.0,,,, , ,,,,,,,,,,,,,,,"5825 Welch Corners
Fischerport, UT 59363",,,,,,,,,,,,,,,,,,
Avon Chi,,8000000.0,,,, , ,,,,,,,,,,,,,,,"41489 Roger Terrace
Davisfort, IN 71770",,,,,,,,,,,,,,,,,,
ADM Subsidiary,,0.0,,,, , ,,,,,,,,,,,,,,,"014 Aaron Locks Suite 714
Justinborough, CO 05147",,,,,,,,,,,,,,,,,,
Armor Holdings,,10200000.0,,,,Violations of the Foreign , ,,,,,,,,,,,,,,,"8518 Pamela Track Apt. 164
Aprilshire, SC 28062",,,,,,,,,,,,,,,,,,
 ,,0.0,,,, , ,,,,,,,,,,,,,,,"864 Ramos Port Apt. 211
Moralesmouth, OH 88090",,,,,,,,,,,,,,,,,,
BAE Systems PLC,,400000000.0,,,, , ,,,,,,,,,,,,,,,"637 Neal Island Suite 074
Lake Tyler, RI 28775",,,,,,,,,,,,,,,,,,
Four Individuals,,800000000.0,,,,Involvement in Foreign Bribery , ,,,,,,,,,,,,,,,"0811 Smith Canyon Apt. 904
Jessicabury, WV 75585",,,,,,,,,,,,,,,,,,
Baker Hughes Subsidiary,,11000000.0,,,, , ,,,,,,,,,,,,,,,"7562 Fisher Spur
Hernandezberg, MD 17438",,,,,,,,,,,,,,,,,,
Retired U.S. Army Colonel Indicted,,0.0,,,, , ,,,,,,,,,,,,,,,"5667 Blair Underpass
South Shelby, VT 07027",,,,,,,,,,,,,,,,,,
Five Individuals,,0.0,,,, , ,,,,,,,,,,,,,,,"PSC 0312, Box 5023
APO AP 39498",,,,,,,,,,,,,,,,,,
Kickbacks,,0.0,,,, , ,,,,,,,,,,,,,,,"6708 Carpenter Overpass Suite 735
Bobbyton, MI 01008",,,,,,,,,,,,,,,,,,
Texas,,0.0,,,,Scheme to Bribe Officials , ,,,,,,,,,,,,,,,"16396 Shawn Junction
New Nicolemouth, ND 60236",,,,,,,,,,,,,,,,,,
Guilty,,0.0,,,, , ,,,,,,,,,,,,,,,"PSC 4080, Box 3513
APO AP 45818",,,,,,,,,,,,,,,,,,
Employees of Military,,0.0,,,, , ,,,,,,,,,,,,,,,"4486 Olson Well
North Kevin, CA 01707",,,,,,,,,,,,,,,,,,
German Engineering Firm Bilfinger Resolves,,32000000.0,,,, , ,,,,,,,,,,,,,,,"67771 Christopher Courts Apt. 637
Port Ronaldfurt, HI 33233",,,,,,,,,,,,,,,,,,
Third Medical Device Company Resolves,,17200000.0,,,, , ,,,,,,,,,,,,,,,"5561 Bishop Turnpike
Lake Kenneth, NY 79756",,,,,,,,,,,,,,,,,,
ABB Ltd,,19000000.0,,,,Foreign Corrupt Practices Act , ,,,,,,,,,,,,,,,"3019 Gerald Mall Apt. 340
Trevinoville, SD 36216",,,,,,,,,,,,,,,,,,
