col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
afeff778-05a2-11e6-a4d1-22000b04a6df,81,Hui Soo,Chae,2017-08-08T13:16:57.000-04:00,2010-12-07T09:29:05.000-05:00,,"9602 Brown Squares
South Allison, OH 79665",,True,True,True,2017-08-10T12:54:50.000-04:00,HSC
af6312ba-05a2-11e6-a4d1-22000b04a6df,12480,Abdul Malik,Muftau,2016-06-30T21:13:02.000-04:00,2014-01-22T17:08:54.000-05:00,,"5470 Lopez Roads
Port Jessicatown, TX 55221",,False,False,True,2017-08-10T12:54:50.000-04:00,AbdulMalik
da9a7d57-e745-46df-9765-b1d40ac88d48,48620,Yi,Liu,,2018-09-06T02:47:20.000-04:00,,"08913 Charlene Flat
Joshuaburgh, NJ 52496",,False,False,False,2018-09-06T02:47:20.000-04:00,Yi Liu
137d51bb-1201-4ddc-b1e0-36f7b65a6ed7,48622,Anna,Lizarov,,2018-09-06T03:01:38.000-04:00,,"7142 Wilson Drives
Melissaton, IL 89760",,False,False,False,2018-09-06T03:01:38.000-04:00,Anna.Lizarov
5d7fcf95-1513-43a1-8407-34968821c64d,48629,Lena,Zhitong,,2018-09-06T12:11:03.000-04:00,,"9097 Bowman Landing Apt. 369
Alanberg, MA 44739",,False,False,False,2018-09-06T12:11:03.000-04:00,Lena.Zhitong.LEI
c75deae8-2c7d-4701-97e0-24f8ad7ed337,48630,Can,Zhang,,2018-09-06T15:59:12.000-04:00,,"9004 Edward Prairie
Michaelside, LA 15560",,False,False,False,2018-09-06T15:59:12.000-04:00,Can.Zhang
85533469-6adc-4eba-b11c-608050595eec,48633,Abdul,Abad,,2018-09-06T17:13:54.000-04:00,,"42814 Houston Hills
Rodriguezside, NJ 62629",,False,False,False,2018-09-06T17:13:54.000-04:00,Abdul Abad
35ef9961-1948-4e81-bb14-2cd4ddcc0751,48634,Wen,Guo,,2018-09-06T18:02:56.000-04:00,,"71760 Rogers Spur Apt. 296
North Lindseyborough, IN 08516",,False,False,False,2018-09-06T18:02:56.000-04:00,Wen.Guo
a6474940-8149-404e-944c-bdf5442f9a94,48635,Chieh-An,Yang,,2018-09-06T18:58:14.000-04:00,,"8847 Kramer Station
South Christopher, KS 77208",,False,False,False,2018-09-06T18:58:14.000-04:00,Chieh-An.Yang
87bca5ac-a2cf-11e7-a044-22000b830e71,48637,Yigu,Liang,,2018-09-06T19:42:20.000-04:00,,"51108 Goodwin Flats Apt. 764
Lake Bobby, IL 82213",,False,False,False,2018-09-06T19:42:20.000-04:00,Yigu.Liang
2e058e88-c133-47c1-98b4-d5c8948d1674,48638,SHIJIA,LIN,,2018-09-06T20:08:23.000-04:00,,"6582 Vanessa Oval
New Richard, NE 68819",,False,False,False,2018-09-06T20:08:23.000-04:00,SHIJIA.LIN
