col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22
,,Norma Fisher,"332 Davis Island
Rodriguezside, VT 16860",,,,,,,,,,,,,,,,,,,
,,Jorge Sullivan,"894 Davis Union
Stewartbury, HI 25324",,,,,,,,,,,,,,,,,,,
,,Elizabeth Woods,"471 Erika Curve
North Megan, UT 71358",,,,,,,,,,,,,,,,,,,
SITES TO BE REMOVED FROM THE BROWNFIELD REGISTER MAP,,Susan Wagner,"339 Riley Mission Suite 515
South Brendamouth, ID 32356",,,,,,,,,,,,,,,,,,,
,,Peter Montgomery,"35256 Craig Drive Apt. 098
North Davidborough, OK 16189",,,,,,,,,,,,,,,,,,,
BUILT Sites on 2017 Brownfield Register built or commenced at March 2019,,Theodore Mcgrath,"09032 Timothy Stream Apt. 086
Port Jordanbury, SD 39961",,,,,,,,,,,,,,,,,,,
UBLR/17/006,UTT/15/1544/FUL,Stephanie Collins,"87091 Gonzalez Knolls
Masseyshire, UT 88665",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,562763.0,222267.0,OSGB1936,0.103,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2015-07-25,Full planning permission,Change of use from hotet/bar/restuarant to mixed use bar/restaurant and residential,,5.0,412 sqm A4 use,2017-12-12,,
UBLR/17/010,UTT/16/2632/FUL,Stephanie Sutton,"225 Wilson Mills
North Thomas, OK 67164",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,551091.0,225168.0,OSGB1936,0.453,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-02-13,Full planning permission,"Mixed use development comprising 10 no. dwellings, ground floor retail unit with independent 1st floor office and 1.5 storey commercial building ",,10.0,97sqm A1 and 97sqm A2,2017-12-12,,
UBLR/17/012,UTT/16/3549/FUL,Brian Hamilton,"PSC 5642, Box 8071
APO AA 97365",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,557923.0,227408.0,OSGB1936,0.406,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-04-25,Full planning permission,"Restoration, conversion and extension of former hotel and associated buildings to provide 10 dwellings.",,10.0,,2017-12-12,,
UBLR/17/015,UTT/17/1037/FUL,Susan Levy,"37594 Garza Roads Apt. 466
North Brookemouth, IA 29742",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,552935.0,215514.0,OSGB1936,0.507,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-08-01,Full planning permission,Conversion of farm house and outbuildings into five dwellings,,5.0,,2017-12-12,,
UBLR/17/014,UTT/17/1304/FUL,Sean Green,"960 Savage Port Suite 027
West Jacquelinemouth, NM 74085",http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,551267.0,225512.0,OSGB1936,0.192,UTT,http://opendatacommunities.org/doc/district-council/uttlesford,Not owned by a public authority,Yes,Permissioned,2017-07-03,Full planning permission,Change of use and conversion of a disused Public House to a single dwelling. The erection of five new dwellings .,,6.0,,2017-12-12,,
,,Kimberly Smith,"75470 Lopez Roads
Port Jessicatown, TX 55221",,,,,,,,,,,,,,,,,,,
,,Jennifer Summers,"08913 Charlene Flat
Joshuaburgh, NJ 52496",,,,,,,,,,,,,,,,,,,
,,April Snyder,"7142 Wilson Drives
Melissaton, IL 89760",,,,,,,,,,,,,,,,,,,
,,Dana Nguyen,"9097 Bowman Landing Apt. 369
Alanberg, MA 44739",,,,,,,,,,,,,,,,,,,
