col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50
Norma Fisher,2020-08-29T06:25:32.022Z,uservar,,,,,,,6330282263920640,605,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,vclayton@cross.com,Norma Fisher,,,,,,,,,,,,,,,,,,,,,,
Jorge Sullivan,2020-08-29T06:25:32.022Z,navigate,,,,,,,6330282263920640,605,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,johnponce@west.net,Jorge Sullivan,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Woods,2020-08-29T06:25:32.063Z,load,,,,,,,6330282263920640,605,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,turnerkelly@gmail.com,Elizabeth Woods,,,,,,,,,,,,,,,,,,,,,,
Susan Wagner,2020-08-29T06:25:32.569Z,seen,Mangocados,html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .home%2Dfeatures .ng%2Dscope div .container div .row div .col%2Dsm%2D12 .ng%2Dscope div .featured%2Dfruit,,,,,6330282263920640,605,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,tamaramorrison@hotmail.com,Susan Wagner,,,,,,,,,,,,,,,,,,,,,,
Peter Montgomery,2020-08-29T06:25:39.465Z,click,Market,html .no%2Djs body .ng%2Dscope div .header .navbar .navbar%2Ddefault .navbar%2Dfixed%2Dtop div .container div .row div .app%2Dcontrols .col%2Dsm%2D6 .col%2Dxs%2D8 .text%2Dright a .app%2Dcontrol .cta%2Dgo%2Dmarket =href=%23%2Fmarket,,,,,6330282263920640,605,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,zdavis@yahoo.com,Peter Montgomery,,,,,,,,,,,,,,,,,,,,,,
Theodore Mcgrath,2020-08-29T06:25:39.469Z,navigate,,,,,,,6330282263920640,606,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,kellylopez@gmail.com,Theodore Mcgrath,,,,,,,,,,,,,,,,,,,,,,
Stephanie Collins,2020-08-29T06:25:39.683Z,seen,,html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .market%2Dplace .ng%2Dscope div .container div .fruit%2Dlist .row div .col%2Dlg%2D3 .col%2Dmd%2D4 .col%2Dsm%2D4 .col%2Dxs%2D12 .fruit%2Dlist%2Ditem .ng%2Dscope div .fruit%2Dbox .fruit%2Drasps div .fruit%2Dpic,,,,,6330282263920640,606,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,thomas12@mclean.net,Stephanie Collins,,,,,,,,,,,,,,,,,,,,,,
Stephanie Sutton,2020-08-29T06:25:39.683Z,seen,Available Fruits,html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .market%2Dplace .ng%2Dscope div .container div .row div .col%2Dsm%2D8 h2 .text%2Dmuted,,,,,6330282263920640,606,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,aimee33@hotmail.com,Stephanie Sutton,,,,,,,,,,,,,,,,,,,,,,
Brian Hamilton,2020-08-29T06:25:41.529Z,click,Add to cart,html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .market%2Dplace .ng%2Dscope div .container div .fruit%2Dlist .row div .col%2Dlg%2D3 .col%2Dmd%2D4 .col%2Dsm%2D4 .col%2Dxs%2D12 .fruit%2Dlist%2Ditem .ng%2Dscope div .fruit%2Dbox .fruit%2Dgrapes div .fruit%2Dfooter div .row div .col%2Dxs%2D6 .text%2Dright a .btn .btn%2Dprimary .btn%2Dsm .cta%2Dadd%2Dto%2Dcart =href,,,,,6330282263920640,606,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,shannon51@yahoo.com,Brian Hamilton,,,,,,,,,,,,,,,,,,,,,,
Susan Levy,2020-08-29T06:25:41.532Z,custom_error,,,,,,,6330282263920640,606,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,vmatthews@sanchez.com,Susan Levy,,,,,,,,,,,,,,,,,,,,,,
Sean Green,2020-08-29T06:25:41.532Z,custom,,,,,,,6330282263920640,606,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,nathanjackson@cabrera-garcia.com,Sean Green,,,,,,,,,,,,,,,,,,,,,,
Kimberly Smith,2020-08-29T06:25:43.509Z,click,My Cart,html .no%2Djs body .ng%2Dscope div .header .navbar .navbar%2Ddefault .navbar%2Dfixed%2Dtop div .container div .row div .app%2Dcontrols .col%2Dsm%2D6 .col%2Dxs%2D8 .text%2Dright a .app%2Dcontrol .btn .btn%2Ddanger .btn%2Dsm .cart =href=%23%2Fcart span,,,,,6330282263920640,606,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,montoyacynthia@guzman.com,Kimberly Smith,,,,,,,,,,,,,,,,,,,,,,
Jennifer Summers,2020-08-29T06:25:43.512Z,navigate,,,,,,,6330282263920640,607,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,hdavis@jacobs.com,Jennifer Summers,,,,,,,,,,,,,,,,,,,,,,
