col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-2,SKLP32,"The Old Quarry, Station Road",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22388&p=0,OSGB36,-0.533053,52.749915,6.9,not owned by a public authority,yes,permissioned,outline planning permission,30/03/2017,Outline Planning application - S14/3097,,124,Residential,,,124,124,,"Site is a former Quarry,  is brownfield",Site was promoted through CFS.,22/12/2017,12/01/2018,10007267642.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-3,SKLP59,"Former Grimers Transport site, Station Road ( Part1 )",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22389&p=0,OSGB36,-0.342367,52.892299,1.1,not owned by a public authority,yes,permissioned,outline planning permission,08/10/2015,Outline Planning application -  S14/0927,,26,Residential,,,26,26,,Former industrial land. Site is brownfield,Site was promoted through CFS.,22/12/2017,12/01/2018,
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-4,SLKP59,"Former Grimers Transport site, Station Road ( Part2)",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22390&p=0,OSGB36,-0.341904,52.893736,0.8,not owned by a public authority,yes,pending decision,,,Pending consideration under application -S16/1197,,22,,,,22,22,,Former industrial land. Site is brownfield,Site was promoted through CFS.,22/12/2017,12/01/2018,10007267734.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-8,SKLP92,Former Aveland High School,http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22391&p=0,OSGB36,-0.34644,52.890326,1.6,not owned by a public authority,yes,permissioned,outline planning permission,14/01/2016,Outline Planning application -  S14/1316,,38,Residential,,,38,38,,Former School site which has now been demolished. Site is brownfield,Site was promoted through CFS.,22/12/2017,12/01/2018,100032000000.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-10,SKLP137,"former Peugeot Garage, Uffington Road",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22387&p=0,OSGB36,-0.457419,52.655325,0.45,not owned by a public authority,yes,pending decision,,,Pending consideration under application -  S17/1758,,12,,,,12,12,,Former Peugeot Car dealership garage + car park . Site is brownfield,Site promoted  through the CFS.,22/12/2017,12/01/2018,
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-22,SKLP300,"Land at Uffington Road, Stamford",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22392&p=0,OSGB36,-0.462418,52.657351,4.9,not owned by a public authority,yes,pending decision,,,Pending consideration under application - S17/0613,,88,,,,88,88,,Previous industrial use land that is now vacant. Site is brownfield.,Site promoted  through the CFS  . Site is preferred allocation for the LP.,22/12/2017,12/01/2018,10007269655.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-26,(SHLAA) GRA14-239,"Former site of st Wulframs school, Queensway Grantham",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22393&p=0,OSGB36,-0.612689,52.92278,1.3,not owned by a public authority,yes,permissioned,outline planning permission,24/09/2015,Outline Planning application -   S14/2837,,31,Residential,,,31,31,,Demolished School Site . Site is brownfield,Site promoted through the SHLAA 2014.,22/12/2017,12/01/2018,10007245559.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-36,STA14-194 (SKLP318),"land north of Uffington Road, Stamford known as ""Stamford Near East""",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22394&p=0,OSGB36,-0.460321,52.656785,4.1,not owned by a public authority,yes,pending decision,,,Pending consideration under application-    S16/1548,,73,,,,73,73,,Site mixture of  industrial buildings. Site is brownfield,Site promoted  through the CFS  . Site is preferred allocation for the LP.,22/12/2017,12/01/2018,100032000000.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-52,( SHLAA) STA14-233,"Blenheim Court, Scotgate, Stamford",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22395&p=0,OSGB36,-0.48276,52.652803,0.14,not owned by a public authority,yes,not permissioned,,,Site had permission under S11/0903 now expired.,,5,,,,5,5,,Site is a hard standing area behind a current shops. Site is brownfield,Site promoted through the SHLAA 2014 .,22/12/2017,12/01/2018,200002000000.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-57,( SHLAA) GRA14-240,"Old Tannery, Earlsfield Lane",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22396&p=0,OSGB36,-0.651723,52.90544,0.4,unknown ownership,yes,not permissioned,,,Site had permission under S06/0965  now expired.,,11,,,,11,11,,Site was former Tanners . Now demolished hard standing area. Site is brownfield,Site promoted through the SHLAA 2014 .,22/12/2017,12/01/2018,100032000000.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-69,253000095 ( NULD),"Garage Court, Kesteven Road",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22397&p=0,OSGB36,-0.477161,52.660995,0.1,owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,Site is hard standing garages. Site is brownfield,Site taken off NULD data,22/12/2017,12/01/2018,10007266050.0
http://opendatacommunities.org/id/district-council/south-kesteven,South Kesteven District Council,SKBFR-119,,"Land at 8 Stamford Street, Colsterworth",http://www.southkesteven.gov.uk/CHttpHandler.ashx?id=22398&p=0,OSGB36,-0.619909,52.801532,0.25,not owned by a public authority,yes,not permissioned,,,,,5,,,,5,5,,"Site a former Timber yard. Now used for storage, part of site is brownfield",New site submitted.,22/12/2017,12/01/2018,
