col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51
2020-08-29T06:25:32.022Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Norma Fisher,vclayton@cross.com,uservar,,Norma Fisher,,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:32.022Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Jorge Sullivan,johnponce@west.net,navigate,,Jorge Sullivan,,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:32.063Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Elizabeth Woods,turnerkelly@gmail.com,load,,Elizabeth Woods,,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:32.569Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .home%2Dfeatures .ng%2Dscope div .container div .row div .col%2Dsm%2D12 .ng%2Dscope div .featured%2Dfruit,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Susan Wagner,tamaramorrison@hotmail.com,seen,,Susan Wagner,Mangocados,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:39.465Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",html .no%2Djs body .ng%2Dscope div .header .navbar .navbar%2Ddefault .navbar%2Dfixed%2Dtop div .container div .row div .app%2Dcontrols .col%2Dsm%2D6 .col%2Dxs%2D8 .text%2Dright a .app%2Dcontrol .cta%2Dgo%2Dmarket =href=%23%2Fmarket,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Peter Montgomery,zdavis@yahoo.com,click,,Peter Montgomery,Market,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:39.469Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Theodore Mcgrath,kellylopez@gmail.com,navigate,,Theodore Mcgrath,,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:39.683Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .market%2Dplace .ng%2Dscope div .container div .fruit%2Dlist .row div .col%2Dlg%2D3 .col%2Dmd%2D4 .col%2Dsm%2D4 .col%2Dxs%2D12 .fruit%2Dlist%2Ditem .ng%2Dscope div .fruit%2Dbox .fruit%2Drasps div .fruit%2Dpic,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Stephanie Collins,thomas12@mclean.net,seen,,Stephanie Collins,,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:39.683Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .market%2Dplace .ng%2Dscope div .container div .row div .col%2Dsm%2D8 h2 .text%2Dmuted,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Stephanie Sutton,aimee33@hotmail.com,seen,,Stephanie Sutton,Available Fruits,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:41.529Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",html .no%2Djs body .ng%2Dscope div .content div .ng%2Dscope div .market%2Dplace .ng%2Dscope div .container div .fruit%2Dlist .row div .col%2Dlg%2D3 .col%2Dmd%2D4 .col%2Dsm%2D4 .col%2Dxs%2D12 .fruit%2Dlist%2Ditem .ng%2Dscope div .fruit%2Dbox .fruit%2Dgrapes div .fruit%2Dfooter div .row div .col%2Dxs%2D6 .text%2Dright a .btn .btn%2Dprimary .btn%2Dsm .cta%2Dadd%2Dto%2Dcart =href,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Brian Hamilton,shannon51@yahoo.com,click,,Brian Hamilton,Add to cart,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
2020-08-29T06:25:41.532Z,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6; Rigor) AppleWebKit/604.1.28 (KHTML, like Gecko) Version/11.0 Safari/604.1.28",,,6330282263920640,6330282263920640,5917356457672704,5132614057541632,,,Susan Levy,vmatthews@sanchez.com,custom_error,,Susan Levy,,,,,,,,,,,,12078,5191,https://fruitshoppe.firebaseapp.com/,,,,,,,,,,,,,,,,,,,,,,,
