col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25
Norma Fisher,43,,-,Luxembourg,End of career,123,1994-04-27,,Main position:Attacking Midfield,Norma Fisher,right,"1,84 m","Jul 1, 2008",68/5,,3580.0,Luxembourg,Christopherville,,,Midfield - Attacking Midfield,2000-06-30,8208,,
Jorge Sullivan,51,,-,Germany,End of career,123,1975-08-10,,Main position:Centre Back Side position: Defensive Midfield Sweeper,Jorge Sullivan,right,"1,82 m","Jul 1, 2003",,,,Germany,Matthewsmouth,,,Defence - Centre Back,1995-10-08,8209,,
Elizabeth Woods,47,,-,,End of career,123,1992-01-27,,Main position:Keeper,Elizabeth Woods,,"1,93 m","Jul 1, 2005",,,,Germany,East Allen,,,Goalkeeper,2018-05-04,28768,,
Susan Wagner,35,,-,,FC Lorentzweiler,21823,2011-09-13,,,Susan Wagner,,,"Jul 1, 2010",27/0,,3580.0,Luxembourg,Davebury,,,Midfield,2015-11-07,40865,,
Peter Montgomery,34,,-,Luxembourg,FC 72 Erpeldange,21423,1977-11-07,,Main position:Attacking Midfield,Peter Montgomery,right,"1,71 m","Jul 1, 2014",56/5,Fons Leweck,3580.0,Luxembourg,Lauramouth,,,Midfield - Attacking Midfield,2008-08-30,40874,,
Theodore Mcgrath,42,,-,France,End of career,123,2003-02-07,,Main position:Left Midfield,Theodore Mcgrath,left,"1,85 m","Jul 1, 2011",51/0,,3580.0,Luxembourg   France,Cabreraville,No agent,96.0,Midfield - Left Midfield,1998-03-15,40883,,
Stephanie Collins,35,,-,Luxembourg,US Feulen,29563,2009-12-13,,,Stephanie Collins,both,,"Jan 1, 2014",21/0,,3580.0,Luxembourg   Portugal,Port Heidi,,,Midfield,1972-02-24,44165,,
Stephanie Sutton,43,,-,,End of career,123,2012-11-18,,,Stephanie Sutton,,,"Jul 1, 2011",,,,Luxembourg   Germany,Port Audreyside,,,Defence,1997-05-17,47590,,
Brian Hamilton,33,,-,,End of career,123,1992-10-25,,Main position:Keeper,Brian Hamilton,,,"Jul 1, 2013",27/0,,21649.0,Luxembourg,North Davidborough,,,Goalkeeper,2017-10-05,56258,,
Susan Levy,36,,-,,End of career,123,1982-12-15,,,Susan Levy,,,"Jul 1, 2013",2/0,,3580.0,Luxembourg,South Christopherville,,,Defence,2008-08-13,58321,,
