col0,col1,col2,col3,col4,col5,col6
32182,22155,4,2017-05-11 18:55:15.377431,2017-05-11 18:55:15.377431,2017-05-11 18:55:15.422018,
12283,8329,1050,2017-04-24 21:58:26.094011,2017-04-24 21:58:26.094011,2017-04-24 21:58:26.134478,
15,1680,509,2017-04-14 17:03:29.91354,2017-04-14 17:03:29.91354,2017-04-14 17:03:30.174952,2017-04-14 17:16:23.126431
19,1680,504,2017-04-14 17:03:30.142128,2017-04-14 17:03:30.142128,2017-04-14 17:03:30.183624,2017-04-14 17:16:23.126431
20,1680,507,2017-04-14 17:03:30.162387,2017-04-14 17:03:30.162387,2017-04-14 17:03:30.272075,2017-04-14 17:16:23.126431
21,1680,503,2017-04-14 17:03:30.253531,2017-04-14 17:03:30.253531,2017-04-14 17:03:30.290118,2017-04-14 17:16:23.126431
22,1680,515,2017-04-14 17:03:30.269279,2017-04-14 17:03:30.269279,2017-04-14 17:03:30.378797,2017-04-14 17:16:23.126431
23,1680,501,2017-04-14 17:03:30.359865,2017-04-14 17:03:30.359865,2017-04-14 17:03:30.395017,2017-04-14 17:16:23.126431
4,11,12,2017-04-13 14:23:24.996915,2017-04-13 14:23:24.996915,2017-04-13 14:23:25.048705,2017-04-13 18:17:52.985097
6,11,288,2017-04-13 14:23:25.031328,2017-04-13 14:23:25.031328,2017-04-13 14:23:25.075704,2017-04-13 18:17:53.039029
1,276,527,2017-03-29 18:16:40.395865,2017-03-29 18:16:40.395865,2017-03-29 18:16:40.459645,2017-04-14 02:05:59.002854
