col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35
1595,2020-03-20 02:32:49.426,False,,360003529474,2020-02-19 01:54:52,description1,,,,360006965034.0,False,True,370295712714.0,,,email@email.com,396331237134,deleted,subject1,396331237134,,360002048693,,2020-02-19 01:55:11,https://zendesk.com/api/v2/tickets/1595.json,web,,,,example@email.com,,[],,,
16988,2021-01-13 20:09:16.325,False,418284131934.0,360003529474,2020-12-22 00:19:23,description1,,,,360013366274.0,False,True,370469077513.0,,,email@email.com,1500656884401,solved,subject1,1500656884401,,360002048693,,2021-01-13 18:42:39,https://zendesk.com/api/v2/tickets/16988.json,email,,,,example@email.com,Support,[],,[],
14173,2020-11-11 20:08:45.130,False,396371699653.0,360003529474,2020-10-28 12:03:02,description1,,,,360006965034.0,False,True,370321120273.0,,,email@email.com,424883466453,closed,subject1,424883466453,,360002048693,,2020-11-11 17:01:32,https://zendesk.com/api/v2/tickets/14173.json,email,,,,example@email.com,Support,[],,,
11071,2020-10-02 14:08:33.216,False,,360003529474,2020-08-28 18:06:36,description1,,,,,False,True,,,,email@email.com,419755385214,deleted,subject1,419755385214,,360002048693,,2020-09-02 11:01:27,https://zendesk.com/api/v2/tickets/11071.json,email,,,,X,Support,[],,,
1966,2020-03-25 20:32:23.617,False,396315360434.0,360003529474,2020-02-27 06:05:08,description1,,,,360006965034.0,False,True,370295721514.0,,,email@email.com,402813302773,closed,subject1,402813302773,,360002048693,,2020-03-25 16:03:26,https://zendesk.com/api/v2/tickets/1966.json,email,,,,example@email.com,Support,[1967],,,
11013,2020-10-02 20:08:20.449,False,402851697393.0,360003529474,2020-08-27 23:09:52,description1,,,,360008376313.0,False,True,370297881854.0,,,email@email.com,419688934974,deleted,subject1,419688934974,,360002048693,,2020-09-02 15:53:16,https://zendesk.com/api/v2/tickets/11013.json,email,,,,X,Support,[],,,
1404,2020-03-05 04:53:46.466,False,396371699653.0,360003529474,2020-02-13 21:43:58,description1,,,,360006965034.0,False,True,370295709874.0,,,email@email.com,403125197514,closed,subject1,403125197514,,360002048693,,2020-02-28 01:01:57,https://zendesk.com/api/v2/tickets/1404.json,email,,,,example@email.com,Support,,,,
4721,2020-05-14 20:12:36.297,False,396371706773.0,360003529474,2020-04-20 14:31:46,description1,,,,360006965034.0,False,True,370295719414.0,,,email@email.com,402862357193,closed,subject1,402862357193,,360002048693,,2020-05-14 20:04:34,https://zendesk.com/api/v2/tickets/4721.json,email,,,,example@email.com,Support,[],,,
6171,2020-06-01 02:11:39.760,False,396334400494.0,360003529474,2020-05-17 17:50:31,description1,,,,360006965034.0,False,True,370295713034.0,,,email@email.com,410930434074,closed,subject1,410930434074,,360002048693,,2020-05-31 23:03:46,https://zendesk.com/api/v2/tickets/6171.json,email,,,,example@email.com,Support,[],,,
6605,2020-06-10 02:10:24.202,False,396315360434.0,360003529474,2020-05-26 22:29:50,description1,,,,360006965034.0,False,True,370295719754.0,,,email@email.com,410416672973,closed,subject1,410416672973,,360002048693,,2020-06-09 23:03:49,https://zendesk.com/api/v2/tickets/6605.json,email,,,,example@email.com,Support,[],,,
