col0,col1,col2,col3,col4
African American education,African American Leadership Forum for Education and Economic Policy,http://id.loc.gov/authorities/names/no2007089591,Corporate Name,
African American dialects,,,,
african american culture,,,,
African American culture,African and African-American culture,http://id.loc.gov/authorities/names/n94050993,Title,
African American community,,,,
African American,African American,http://id.loc.gov/authorities/names/nr90008357,Personal Name,
Afrian Studies,,,,
Affrimative action,,,,
affirmative action,,,,
Affirmative action,,,,
Affirmative Action,Affirmative action (New York Times Educational Publishing),http://id.loc.gov/authorities/names/no2020085300,Title,
admission policies,,,,
Adam Clay Powell,,,,
activist,,,,
acting,Acting,http://id.loc.gov/authorities/names/no96011374,Title,
acess,,,,
academics,Autoris academics,http://id.loc.gov/authorities/names/no2017154576,Title,
Academics,Penguin academics,http://id.loc.gov/authorities/names/n2001036367,Title,
Academic Sucess,,,,
Academia,Academia (Pa.),http://id.loc.gov/authorities/names/no98111091,Geographic,
Abortion Debate,,,,
abortion,National Abortion Federation (U.S.). Task Force on Minors and Abortion,http://id.loc.gov/authorities/names/n86828660,Corporate Name,
"Abernathy, Ralph","Gamble, Ralph A. (Ralph Abernathy), 1885-1959",http://id.loc.gov/authorities/names/n90703044,Personal Name,
