col0,col1,col2,col3,col4,col5
01,,1,Nanggro Aceh Darussalam,view,
0101,1.0,101,Banda Aceh,view,
0101001,101.0,101001,Keudah,normal,Keudah
02,,2,Sumatera Utara,view,
0201,2.0,201,Medan,view,
Medan01,201.0,201001,Brigjend Katamso,normal,Brigjend Katamso
03,,3,Sumatera Barat,view,
0301,3.0,301,Padang,view,
0301001,301.0,301001,Veteran,normal,Veteran
04,,4,Riau,view,
0401,4.0,401,Pekan Baru,view,
0401001,401.0,401001,Paus Ujung,normal,Paus Ujung
05,,5,Kepulauan Riau,view,
0501,5.0,501,Tanjung Pinang,view,
0501001,501.0,501001,Srikaton,normal,Srikaton
0502,5.0,502,Batam,view,
Batam01,502.0,502001,Batam Centre,normal,Batam Centre
06,,6,Jambi,view,
0601,6.0,601,Jambi,view,
0601001,601.0,601001,P. Antasari,normal,P. Antasari
07,,7,Sumatera Selatan,view,
0701,7.0,701,Palembang,view,
Palembang01,701.0,701001,Angkatan 45,normal,Angkatan 45
08,,8,Bangka Belitung,view,
0801,8.0,801,Pangkal Pinang,view,
0801001,801.0,801001,Tanjung Pandan,normal,Tanjung Pandan
09,,9,Bengkulu,view,
0901,9.0,901,Bengkulu,view,
0901001,901.0,901001,Timur Indah,normal,Timur Indah
10,,10,Lampung,view,
1001,10.0,1001,Bandar Lampung,view,
Lampung01,1001.0,1001001,Teluk Betung,normal,Teluk Betung
11,,11,DKI Jakarta,view,
1101,11.0,1101,Jakarta Pusat,view,
Lause01,1101.0,1101001,Lautze,normal,Lautze
1101002,1101.0,1101002,Toko ITC Roxy Mas,normal,Toko ITC Roxy Mas
1101003,1101.0,1101003,Toko ITC Cempaka Mas,normal,Toko ITC Cempaka Mas
1101004,1101.0,1101004,Toko Pasar Senen,normal,Toko Pasar Senen
1101005,1101.0,1101005,Toko Tanah Abang,normal,Toko Tanah Abang
1101006,1101.0,1101006,Bendungan Hilir,normal,Bendungan Hilir
1101007,1101.0,1101007,Salemba,normal,Salemba
1102,11.0,1102,Jakarta Utara,view,
Cempaka,1102.0,1102001,Cempaka Putih,normal,Cempaka Putih
1102002,1102.0,1102002,Toko ITC Mangga Dua,normal,Toko ITC Mangga Dua
1102003,1102.0,1102003,Teluk Gong,normal,Teluk Gong
1102004,1102.0,1102004,Cilincing,normal,Cilincing
1103,11.0,1103,Jakarta Barat,view,
