col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
DublinCore,http://dublincore.org/,(dc:subject),(dc:subject),(dc:subject),(dc:subject),(dc:subject),dc:coverage,dc:type,(dc:subject),(dc:subject),(dc:subject),(dc:subject),dc:date,Mindy Tyler
DataCite,https://schema.datacite.org/meta/kernel-4.1/,(subjects),(subjects),(subjects),(subjects),(subjects),"geoLocations, bounding boxes (geoLocationBox)",resourceType,(subjects),(subjects),(subjects),(subjects),"Publication-Year, date + date type possible to specify, e.g. collection Date",Amy Jackson
ISO19115,ftp://ftp.ncddc.noaa.gov/pub/Metadata/Online_ISO_Training/Intro_to_ISO/workbooks/MD_Metadata.pdf,(descriptive-Keywords),(descriptive-Keywords),(descriptive-Keywords),(descriptive-Keywords),(descriptive-Keywords),geographic-Element,distribution-Info,(descriptive-Keywords),(descriptive-Keywords),(descriptive-Keywords),(descriptive-Keywords),"dateStamp, temporalExtent",Christy Ferguson
FDGC/ CSDGM,https://www.fgdc.gov/metadata/csdgm-standard,(Theme Keyword),Entity and Attribute Information (with sub-elements),(Theme Keyword),(Theme Keyword),(Theme Keyword),"Spatial Domain, place, Spatial Reference Information (with sub-elements)",(Browse Graphic),Spatial Data Organization Information (with sub-elements),(Theme Keyword),(Theme Keyword),(Theme Keyword),Time Period Information (with sub-elements),Cameron Miller Jr.
EML,https://knb.ecoinformatics.org/external//emlparser/docs/eml-2.1.1/index.html,studyAreaDescription,"attributeList, measurementScale",(keywords),"taxonomicCoverage, taxonomicClassification",(keywords),geographic-Coverage,distribution,"methods (methodSteps, sampling, qualitycontrol)",(keywords),(keywords),(keywords),"pubDate, temporalCoverage",Angela Nixon
DarwinCore,https://dwc.tdwg.org/,Habitat,Measurement-Value,,Taxon,,"Location, GeologicalContext(?)","Type, basisOfRecord",measurement (Method|Type|Unit),,,Event (?),dateIdentified,Dr. Joanna Hill
RDF Data Cube,https://www.w3.org/TR/vocab-data-cube/,(dc:subject),"qb:structure. qb: dimension, qb:attribute, qb:measure",(dc:subject),(dc:subject),(dc:subject),(dc:subject),(qb:dataSet),(dc:subject),(dc:subject),(dc:subject),(dc:subject),dc:issued,Gregory Foster
ISA Tab,https://isa-specs.readthedocs.io/en/latest/index.html,Study Characteristics[habitat],"Study Protocol Parameter, Assay Measurement Type",Study Factor,Study Characteristics[organism],Protocol REF,Study Characteristic[location],Study Design Type,"Assay Technology Type, Assay Technology Platform",Study Characteristic[strain],,,"Investigation Submission Date, Investigation Public Release Date, Study Submission Date, Study Public Release Date",Stephanie Moore
DIF,https://gcmd.nasa.gov/DocumentBuilder/defaultDif10/guide/index.html,<Science_Keywords><Category/><Topic/><Term/><Variable_Level_1/>,<Characteristics><Name/><Description/><DataType/><Unit/><Value/></Characteristics>,ScienceKeyword,ScienceKeyword,ScienceKeyword, Location/ Spatial Coverage,DataType/MultimediaSample,<Instrument><Short_Name/><Long_Name/><Technique/><NumberOfSensors/><Characteristics>,,,,TemporalCoverage,Daniel Williams
CF,http://cfconventions.org/,Area Type Table (54),Standard Name Table (4789),,,,Standardized Region List (70),,,,,,,Kayla Jones
ABCD,https://github.com/tdwg/abcd,(Gathering (Notes)),"MeasurementsOrFacts, Sex, Age",,"ScientificName, HigherTaxon, Synecology (Taxa-taxa relationship)...",,"Country, Named-Areas, Near-Named-Places, GML, WFS (Web feature service, GIS), WMSURL (Web map service, GIS), SiteCoordinateSets, Altitude, Height, Depth","RecordBasisEnum , MultiMediaObjects",Method,Sequence,,,DateTime,Jerry Strickland
DCAT,https://www.w3.org/TR/vocab-dcat,(dcat:keyword),(dcat:keyword),(dcat:keyword),(dcat:keyword),(dcat:keyword),(dcat:keyword),"dcat:distribution, dcat:mediaType",(dcat:keyword),(dcat:keyword),(dcat:keyword),(dcat:keyword),(dcat:keyword),Brandy Sims
OAI-ORE,https://www.openarchives.org/ore/,(dc:subject),(dc:subject),(dc:subject),(dc:subject),(dc:subject),dc:coverage,dc:type,(dc:subject),(dc:subject),(dc:subject),(dc:subject),dc:date,Alexis Hernandez
SDMX,https://sdmx.org/," (CategoryScheme, Annotation)","e.g., structure:DataStructure, structure:Dimension "," (CategoryScheme, Annotation)",ReportingTaxonomy," Process meant for statistical processing, data validation ??"," (CategoryScheme, Annotation)"," (CategoryScheme, Annotation)"," (CategoryScheme, Annotation)"," (CategoryScheme, Annotation)"," (CategoryScheme, Annotation)"," (CategoryScheme, Annotation)","e.g., TimeDimension, attribute: Time_Period",Holly Stuart
