col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29
z0bug.partner_mycompany,Norma Fisher,"Via dei Matti, 0",,base.it,20080,Ozzero,base.state_it_mi,False,False,True,"9342 Lori Bypass Suite 711
East Sandra, CO 92162",+39 025551234,,IT05111810015,,ww.testcompany.org,,,,,,,,,,,,,it_IT
z0bug.res_partner_1,Jorge Sullivan,"Via I Maggio, 11",,base.it,20022,Castano Primo,base.state_it_mi,True,True,True,"PSC 8684, Box 8339
APO AA 76482",+39 0255582285,,IT00115719999,,www.prima-alpha.it,z0bug.fiscalpos_it,z0bug.payment_1,,,,1.0,A1B2C3X,,,,,,it_IT
z0bug.res_partner_1_1,Elizabeth Woods,"C. Unità d'Italia, 61",,base.it,20022,Castano Primo,base.state_it_mi,True,True,True,"515 Tom Roads Suite 330
Davebury, WY 22846",+39 0255561901,,,,www.prima-distribuzione.it,,,z0bug.res_partner_13,delivery,,,,,,,,,it_IT
z0bug.res_partner_10,Susan Wagner,"Largo Fasuli, 10",,base.it,10121,Torino,base.state_it_to,False,True,True,"23098 Anthony Roads
New Maria, MO 12498",,,IT10242670015,JCKLBR72M24L736R,,z0bug.fiscalpos_it,,,,,,,,,,,,it_IT
z0bug.res_partner_11,Peter Montgomery,"C. Soricillo, 111",Palazzo NUVOLA,base.it,10151,Torino,base.state_it_to,False,True,True,"90321 Clark Union
Lake Andrewchester, CT 34569",,,IT01250630504,,www.nebula-caffe.it,,,,,,,,,,,,,it_IT
z0bug.res_partner_12,Theodore Mcgrath,Kaiserswerther Straße 16-18,,base.de,14195,Berlin,,False,True,True,"456 Bruce Mountain
New Craigfurt, KS 47497",,,DE123456788,,,z0bug.fiscalpos_eu,,,,,,,,,,,,en_US
z0bug.res_partner_13,Stephanie Collins,Carl-Bertelsmann-Straße 23,,base.it,33332,Gütersloh,,True,False,True,"PSC 7923, Box 0225
APO AP 33359",,,,,,z0bug.fiscalpos_eu,z0bug.payment_3,,,,,,,,,,,en_US
z0bug.res_partner_13_1,Stephanie Sutton,"Corso S. Antonio, 13",,base.it,20100,Milano,base.state_it_mi,True,False,True,"207 Mccullough Well Suite 564
New Hannah, WA 10865",,,,,,z0bug.fiscalpos_it,z0bug.payment_3,z0bug.res_partner_13,invoice,SO,,,,,,,,it_IT
z0bug.res_partner_14,Brian Hamilton,"Str. Briaco, 14",,base.it,10121,Torino,base.state_it_to,False,True,True,"423 Bell Heights
Brittanyberg, ME 51359",,,IT08652300156,,,z0bug.fiscalpos_it,,,,,,,,,,,,it_IT
z0bug.res_partner_15,Susan Levy,"P.za mano del porto, 5",,base.it,16115,Genova,base.state_it_ge,True,False,True,"93523 Dana Lane
Johnsonshire, WI 87296",+39 0101234560,,IT10242670015,,,z0bug.fiscalpos_sp,z0bug.payment_3,,,,,,1.0,XU1234,l10n_it_ddt.goods_description_CBA,l10n_it_ddt.carriage_condition_PF,l10n_it_ddt.transportation_method_DES,it_IT
z0bug.res_partner_15_1,Sean Green,"P.za mano del porto, 51",,base.it,16115,Genova,base.state_it_ge,True,False,True,"1427 Odonnell Rapids
North Troyport, NH 07035",+39 0101234561,,,,,z0bug.fiscalpos_sp,z0bug.payment_3,z0bug.res_partner_15,invoice,,,,1.0,XU1241,,,,it_IT
z0bug.res_partner_15_2,Kimberly Smith,"P.za mano del porto, 52",,base.it,16115,Genova,base.state_it_ge,True,False,True,"81206 Stewart Forest Apt. 089
East Davidborough, ME 37198",+39 0101234562,,,,,,z0bug.payment_3,z0bug.res_partner_15,invoice,,,,1.0,XU1242,,,,it_IT
